ASSESSID,AREAID,km2,lat,lon
NEFSC-ACADREDGOMGB-1913-2007-MILLER,USA-NMFS-5YZ,296009,41.87,-68.89
ICCAT-ALBANATL-1929-2005-WORM,multinational-ICCAT-NATL,56168545,49.41,-22.72
SPC-ALBASPAC-1959-2006-JENSEN,multinational-WCPFC-SPAC,7308057451,-35.02,-70.33
AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK,USA-NMFS-BSAI,805634758,57.65,-45.42
NAFO-SC-AMPL3LNO-1955-2007-BAUM,multinational-NAFO-3LNO,633125,44.56,-50.13
NAFO-SC-AMPL3M-1960-2007-BAUM,multinational-NAFO-3M,409464,44.12,-44.25
NEFSC-AMPL5YZ-1960-2008-OBRIEN,USA-NMFS-5YZ,296009,41.87,-68.89
WGMHSA-ANCHOBAYB-1986-2007-JENNINGS,multinational-ICES-VIII,793200,45.4,-9.07
MARAM-ANCHOSA-1984-2006-deMoor,South Africa-DETMCM-SA,3259438,-29.62,25.21
CSERG-ANCHOVYKILKACS-1991-2007-JENSEN,Iran-Iran-CS,885906,41.68,51.05
AFSC-ARFLOUNDBSAI-1970-2008-STANTON,USA-NMFS-BSAI,805634758,57.65,-45.42
AFSC-ARFLOUNDGA-1958-2010-STANTON,USA-NMFS-GA,819151,57.98,-146.69
NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
INIDEP-ARGANCHONARG-1989-2007-Parma,Argentina-CFP-ARG-N,979766,-36.33,-56.93
INIDEP-ARGANCHOSARG-1992-2007-Parma,Argentina-CFP-ARG-S,2924714,-50,-59.28
INIDEP-ARGHAKENARG-1985-2007-Parma,Argentina-CFP-ARG-N,979766,-36.33,-56.93
INIDEP-ARGHAKESARG-1985-2008-Parma,Argentina-CFP-ARG-S,2924714,-50,-59.28
ICCAT-ATBTUNAEATL-1969-2007-WORM,multinational-ICCAT-EATL,38136898,33.96,-1.26
ICCAT-ATBTUNAWATL-1969-2007-WORM,multinational-ICCAT-WATL,4730204,5.19,-50.66
NEFSC-ATHAL5YZ-1800-2007-COL,USA-NMFS-5YZ,296009,41.87,-68.89
AFSC-ATKABSAI-1976-2009-STANTON,USA-NMFS-BSAI,805634758,57.65,-45.42
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,USA-NMFS-MATLC,496532,38.02,-74.36
CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,multinational-CCAMLR-RS,10060140,-75.05,-174.01
NIWA-AUSSALMONNZ-1975-2006-JENSEN,New Zealand-MFish-NZ,4094877028,-35.7,32.11
NWFSC-BGROCKPCOAST-1950-2005-STANTON,USA-NMFS-PCOAST,3246712,39.54,-120.48
SEFSC-BHEADSHARATL-1950-2005-FAUCONNET,USA-NMFS-ATL,4001904,34.74,-65.83
ICCAT-BIGEYEATL-1950-2005-JENSEN,USA-NMFS-ATL,4001904,34.74,-65.83
IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational-IATTC-EPAC,35180027646,3.56,71.62
IOTC-BIGEYEIO-1957-2006-JENSEN,multinational-IOTC-IO,27809007,-15.25,80.65
SPC-BIGEYEWPO-1952-2006-JENSEN,multinational-SPC-WPO,12970145,2.7,-124.65
CSIRO-BIGHTREDSE-1958-2007-FULTON,Australia-AFMA-SE,5430238,-34.03,147.02
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,New Zealand-MFish-WECR,5463743046,-44.09,150.18
NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,USA-NMFS-NPCOAST,1206543,47.75,-125
NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH,USA-NMFS-SPCOAST,205759,33.75,-121
NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,USA-NMFS-ATLC,1237104,35.7,-75.55
NWFSC-BLUEROCKCAL-1916-2007-BRANCH,USA-NMFS-CAL,1426282,35.11,-118.35
SEFSC-BNOSESHARATL-1950-2005-FAUCONNET,USA-NMFS-ATL,4001904,34.74,-65.83
NWFSC-BOCACCSPCOAST-1951-2006-BRANCH,USA-NMFS-SPCOAST,205759,33.75,-121
NEFSC-BSBASSMATLC-1968-2007-SHEPHERD,USA-NMFS-MATLC,496532,38.02,-74.36
SEFSC-BTIPSHARATL-1981-2004-FAUCONNET,USA-NMFS-ATL,4001904,34.74,-65.83
SEFSC-BTIPSHARGM-1981-2004-FAUCONNET,USA-NMFS-GM,2496985,24.95,-91.62
CSIRO-BTSHRIMPNAUST-1970-2006-FULTON,Australia-AFMA-NAUST,8355535,-17.24,133.18
NEFSC-BUTTERGOMCHATT-1965-2005-OVERHOLTZ,USA-NMFS-5YCHATT,302113,39.12,-72.47
WGNPBW-BWHITNEA-1980-2007-JENNINGS,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,16299447,70.38,5.3
AFSC-CABEZNCAL-1916-2005-STANTON,USA-NMFS-NCAL,173215,39.54,-123.16
AFSC-CABEZSCAL-1932-2005-STANTON,USA-NMFS-SCAL,205759,33.75,-121
SWFSC-CALSCORPSCAL-1990-2005-STANTON,USA-NMFS-SCAL,205759,33.75,-121
NWWG-CAPEICE-1977-2007-MINTO,multinational-ICES-Va,485043,65.11,-19.26
AFWG-CAPENOR-1965-2007-MINTO,multinational-ICES-I,2566804,77.14,46.78
MARAM-CHAKESA-1917-2008-DEDECKER,South Africa-DETMCM-SA,3259438,-29.62,25.21
NWFSC-CHILISPCOAST-1892-2007-BRANCH,USA-NMFS-SPCOAST,205759,33.75,-121
IFOP-CHTRACCH-1975-2007-JENSEN,multinational-SPRFMO-CH,8150045,-38.87,-79.31
SPRFMO-CHTRACCH-1950-2010-RICARD,multinational-SPRFMO-CH,8150045,-38.87,-79.31
SWFSC-CMACKPCOAST-1929-2008-PINSKY,USA-NMFS-PCOAST,3246712,39.54,-120.48
