"","ASSESSID","TSYEAR","SSB","TOTAL","CATCH_LANDINGS","units_total","units_ssb","units_catch"
"1","ADFG-HERRPWS-1980-2006-COLLIE",1980,48270.35,52824.36,32.6314350978,"MT","MT","MT"
"2","ADFG-HERRPWS-1980-2006-COLLIE",1981,51090.88,63262.2,57.9373534201,"MT","MT","MT"
"3","ADFG-HERRPWS-1980-2006-COLLIE",1982,47402.54,54244.23,30.0595663599,"MT","MT","MT"
"4","ADFG-HERRPWS-1980-2006-COLLIE",1983,56449.01,58999.78,10.8045702534,"MT","MT","MT"
"5","ADFG-HERRPWS-1980-2006-COLLIE",1984,64461.28,69818.6,26.9524586254,"MT","MT","MT"
"6","ADFG-HERRPWS-1980-2006-COLLIE",1985,79124.61,85627,28.3086998117,"MT","MT","MT"
"7","ADFG-HERRPWS-1980-2006-COLLIE",1986,65601.06,75240.88,38.1652620118,"MT","MT","MT"
"8","ADFG-HERRPWS-1980-2006-COLLIE",1987,70646.42,75470.75,26.1314564357,"MT","MT","MT"
"9","ADFG-HERRPWS-1980-2006-COLLIE",1988,93508.2,101382.44,42.0389408516,"MT","MT","MT"
"10","ADFG-HERRPWS-1980-2006-COLLIE",1989,105135.41,105135.41,2.222602613,"MT","MT","MT"
"11","ADFG-HERRPWS-1980-2006-COLLIE",1990,84252.14,93423.68,36.015234178,"MT","MT","MT"
"12","ADFG-HERRPWS-1980-2006-COLLIE",1991,71852.32,84716.2,65.2764779667,"MT","MT","MT"
"13","ADFG-HERRPWS-1980-2006-COLLIE",1992,80238.46,96611.72,87.1895253614,"MT","MT","MT"
"14","ADFG-HERRPWS-1980-2006-COLLIE",1993,31921.39,33859.58,10.4190167389,"MT","MT","MT"
"15","ADFG-HERRPWS-1980-2006-COLLIE",1994,16738.8,16738.8,0,"MT","MT","MT"
"16","ADFG-HERRPWS-1980-2006-COLLIE",1995,15675.86,15675.86,0,"MT","MT","MT"
"17","ADFG-HERRPWS-1980-2006-COLLIE",1996,19882.23,19882.23,1.9141598014,"MT","MT","MT"
"18","ADFG-HERRPWS-1980-2006-COLLIE",1997,24354.8,28122.21,17.9486500809,"MT","MT","MT"
"19","ADFG-HERRPWS-1980-2006-COLLIE",1998,20521.21,23452.01,15.5446105199,"MT","MT","MT"
"20","ADFG-HERRPWS-1980-2006-COLLIE",1999,16291.61,16335.04,0.1905087954,"MT","MT","MT"
"21","ADFG-HERRPWS-1980-2006-COLLIE",2000,13936.21,13936.21,0,"MT","MT","MT"
"22","ADFG-HERRPWS-1980-2006-COLLIE",2001,10683.51,10683.51,0,"MT","MT","MT"
"23","ADFG-HERRPWS-1980-2006-COLLIE",2002,13007.92,13007.92,0,"MT","MT","MT"
"24","ADFG-HERRPWS-1980-2006-COLLIE",2003,17576.62,17576.62,0,"MT","MT","MT"
"25","ADFG-HERRPWS-1980-2006-COLLIE",2004,19301.84,19301.84,0,"MT","MT","MT"
"26","ADFG-HERRPWS-1980-2006-COLLIE",2005,13207.83,13207.83,0,"MT","MT","MT"
"27","ADFG-HERRPWS-1980-2006-COLLIE",2006,9499.56,9499.56,0,"MT","MT","MT"
"28","ADFG-HERRSITKA-1978-2007-COLLIE",1978,4748.72,10197.29,0.7166759446,"MT","MT","MT"
"29","ADFG-HERRSITKA-1978-2007-COLLIE",1979,21832.51,55103.51,12.0383414998,"MT","MT","MT"
