"ASSESSID","COMMON","Scientific_name","MGMT","AREA","LME_NAME","LME_NUMBER","NUM_LMEs","BRP_BMSY","BRP_SSBMSY","metric_TOTAL","metric_SSB","firstYR_TOTAL","firstYR_SSB","mean_ut","median_ut","q90_ut","mean_umsy","median_umsy","q90umsy"
"ADFG-HERRPWS-1980-2006-COLLIE","Pacific herring","Clupea harengus","NMFS","Prince William Sound","Gulf of Alaska",2,1,NA,NA,"MT","MT",1980,1980,0.00029822195782635,0.000307712521504992,0.000705908311328354,NA,NA,NA
"ADFG-HERRSITKA-1978-2007-COLLIE","Pacific herring","Clupea harengus","NMFS","Sitka","Gulf of Alaska",2,1,NA,NA,"MT","MT",1978,1978,0.000410122768570935,0.0003613394773799,0.000717846674677971,NA,NA,NA
"AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","Alaska plaice","Pleuronectes platessa","NMFS","Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,129300,"MT","MT",1975,1975,0.0115804764289743,0.0110950581132854,0.0162876148827982,NA,NA,NA
"AFSC-ARFLOUNDBSAI-1970-2008-STANTON","Arrowtooth flounder","Reinhardtius stomias","NMFS","Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,292200,"MT","MT",1976,1976,0.0275306981948609,0.0191648185066867,0.0524764253698567,NA,NA,NA
"AFSC-ARFLOUNDGA-1958-2010-STANTON","Arrowtooth flounder","Reinhardtius stomias","NMFS","Gulf of Alaska","Gulf of Alaska",2,1,NA,428307,"MT","MT",1961,1961,0.00770032727236679,0.00786614012709918,0.013441472798973,NA,NA,NA
"AFSC-ATKABSAI-1976-2009-STANTON","Atka mackerel","Pleurogrammus monopterygius","NMFS","Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,85500,"MT","MT",1977,1977,0.106000007817119,0.108212209019246,0.155465910169063,NA,NA,NA
"AFSC-CABEZNCAL-1916-2005-STANTON","Cabezon","Scorpaenichthys marmoratus","NMFS","Northern California","California Current",3,1,NA,426,"MT","MT",1945,1945,0.0659536796974995,0.050927707336909,0.123385763052033,0.507335997673073,0.3917515948993,0.949121254246408
"AFSC-CABEZSCAL-1932-2005-STANTON","Cabezon","Scorpaenichthys marmoratus","NMFS","Southern California","California Current",3,1,NA,96,"MT","MT",1945,1945,0.137411654948935,0.0677548698486936,0.364599539359225,1.05701273037642,0.521191306528412,2.80461184122481
"AFSC-DSOLEGA-1978-2010-STANTON","Dover sole","Microstomus pacificus","NMFS","Gulf of Alaska","Gulf of Alaska",2,1,NA,NA,"MT","MT",1984,1984,0.0139025246243713,0.00742857142857143,0.0292860869565217,NA,NA,NA
"AFSC-DUSROCKGA-1973-2008-MELNYCHUK","Dusky rockfish","Sebastes variabilis","NMFS","Gulf of Alaska","Gulf of Alaska",2,1,NA,15511,"MT","MT",1977,1977,0.0362880778996635,0.0373053157760755,0.0572919085434759,NA,NA,NA
"AFSC-FLSOLEBSAI-1977-2008-STANTON","Flathead sole","Solea vulgaris","NMFS","Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,139188,"MT","MT",1977,1977,0.0188277264040784,0.0178795825505826,0.0256108529304501,NA,NA,NA
