c_chloroA,c_harvest,c_year,chloroA_pred,harvest_pred,year_pred,ln_chloroA,ln_harvest,year,surv_chloroA,surv_harvest,surv_year,chloroA,harvest
-1.772556,-2.991829,-1.692435,0.998346336,0.99865713,0.998323562,-1.673573558,-11.10262968,1945,0.898007279,0.916360734,0.896676719,0.187575554,1.50726E-05
-1.697794095,-2.865497476,-1.638706905,0.998325095,0.998627846,0.998308115,-1.622554905,-10.78816614,1946,0.896766224,0.914615713,0.895775337,0.197393732,2.06423E-05
-1.62303219,-2.739165952,-1.58497881,0.998303582,0.998597923,0.998292526,-1.571536252,-10.47370259,1947,0.895510977,0.91283607,0.894866568,0.207725818,2.82702E-05
-1.548270285,-2.612834428,-1.531250715,0.998281793,0.998567349,0.998276794,-1.520517599,-10.15923905,1948,0.894241398,0.911021195,0.89395036,0.218598711,3.87167E-05
-1.47350838,-2.486502904,-1.47752262,0.998259724,0.998536108,0.998260916,-1.469498946,-9.8447755,1949,0.892957346,0.909170472,0.893026662,0.230040719,5.30235E-05
-1.398746475,-2.36017138,-1.423794525,0.998237373,0.998504188,0.998244893,-1.418480293,-9.530311955,1950,0.891658683,0.907283277,0.89209542,0.242081631,7.2617E-05
-1.32398457,-2.233839856,-1.37006643,0.998214735,0.998471573,0.998228722,-1.36746164,-9.21584841,1951,0.890345264,0.905358979,0.891156583,0.254752794,9.94507E-05
-1.249222665,-2.107508332,-1.316338335,0.998191806,0.998438248,0.998212403,-1.316442988,-8.901384865,1952,0.88901695,0.903396939,0.890210098,0.268087198,0.0001362
-1.17446076,-1.981176808,-1.26261024,0.998168584,0.998404197,0.998195934,-1.265424335,-8.58692132,1953,0.887673596,0.901396512,0.889255912,0.282119558,0.000186529
-1.099698855,-1.854845284,-1.208882145,0.998145064,0.998369405,0.998179313,-1.214405682,-8.272457774,1954,0.886315059,0.899357047,0.888293971,0.296886407,0.000255457
-1.02493695,-1.72851376,-1.15515405,0.998121243,0.998333856,0.998162539,-1.163387029,-7.957994229,1955,0.884941194,0.897277884,0.887324224,0.31242619,0.000349854
-0.950175045,-1.602182236,-1.101425955,0.998097116,0.998297533,0.998145611,-1.112368376,-7.643530684,1956,0.883551858,0.895158358,0.886346615,0.328779365,0.000479134
-0.87541314,-1.475850712,-1.04769786,0.99807268,0.99826042,0.998128527,-1.061349723,-7.329067139,1957,0.882146903,0.892997797,0.885361092,0.345988506,0.000656185
-0.800651235,-1.349519188,-0.993969765,0.998047931,0.998222499,0.998111286,-1.01033107,-7.014603593,1958,0.880726183,0.890795525,0.884367602,0.364098417,0.000898662
-0.72588933,-1.223187664,-0.94024167,0.998022864,0.998183753,0.998093887,-0.959312417,-6.700140048,1959,0.879289553,0.888550856,0.883366089,0.383156247,0.00123074
-0.651127425,-1.09685614,-0.886513575,0.997997477,0.998144164,0.998076328,-0.908293765,-6.385676503,1960,0.877836864,0.886263101,0.882356499,0.403211611,0.001685528
-0.57636552,-0.970524616,-0.83278548,0.997971764,0.998103714,0.998058607,-0.857275112,-6.071212958,1961,0.876367968,0.883931564,0.88133878,0.424316724,0.002308372
-0.501603615,-0.844193092,-0.779057385,0.997945722,0.998062383,0.998040724,-0.806256459,-5.756749413,1962,0.874882717,0.881555546,0.880312875,0.446526532,0.003161371
-0.42684171,-0.717861568,-0.72532929,0.997919345,0.998020154,0.998022675,-0.755237806,-5.442285867,1963,0.873380961,0.879134339,0.879278731,0.469898857,0.004329575
-0.352079805,-0.591530044,-0.671601195,0.997892631,0.997977006,0.998004461,-0.704219153,-5.127822322,1964,0.871862552,0.876667233,0.878236292,0.494494548,0.005929459
-0.2773179,-0.46519852,-0.6178731,0.997865575,0.99793292,0.99798608,-0.6532005,-4.813358777,1965,0.870327338,0.874153512,0.877185504,0.52037764,0.008120539
-0.202555995,-0.338866996,-0.564145005,0.997838172,0.997887875,0.99796753,-0.602181847,-4.498895232,1966,0.868775169,0.871592457,0.876126312,0.547615518,0.011121276
-0.12779409,-0.212535472,-0.51041691,0.997810418,0.99784185,0.997948809,-0.551163194,-4.184431686,1967,0.867205895,0.868983344,0.875058661,0.576279096,0.015230859
-0.053032185,-0.086203948,-0.456688815,0.997782309,0.997794825,0.997929916,-0.500144541,-3.869968141,1968,0.865619365,0.866325446,0.873982494,0.606442997,0.020859034
0.02172972,0.040127576,-0.40296072,0.997753839,0.997746778,0.997910849,-0.449125889,-3.555504596,1969,0.864015425,0.863618031,0.872897757,0.638185753,0.028566957
0.096491625,0.1664591,-0.349232625,0.997725005,0.997697686,0.997891607,-0.398107236,-3.241041051,1970,0.862393925,0.860860367,0.871804394,0.671590005,0.039123145
0.17125353,0.292790624,-0.29550453,0.997695802,0.997647527,0.997872189,-0.347088583,-2.926577506,1971,0.860754711,0.858051717,0.87070235,0.70674272,0.053580102
0.246015435,0.419122148,-0.241776435,0.997666224,0.997596278,0.997852591,-0.29606993,-2.61211396,1972,0.859097632,0.855191344,0.869591568,0.743735417,0.073379259
0.32077734,0.545453672,-0.18804834,0.997636268,0.997543915,0.997832814,-0.245051277,-2.297650415,1973,0.857422534,0.852278507,0.868471992,0.782664404,0.100494687
0.395539245,0.671785196,-0.134320245,0.997605928,0.997490414,0.997812855,-0.194032624,-1.98318687,1974,0.855729264,0.849312466,0.867343567,0.823631034,0.137629929
0.47030115,0.79811672,-0.08059215,0.9975752,0.997435751,0.997792713,-0.143013971,-1.668723325,1975,0.854017669,0.84629248,0.866206236,0.866741959,0.18848755
0.545063055,0.924448244,-0.026864055,0.997544078,0.9973799,0.997772385,-0.091995318,-1.354259779,1976,0.852287595,0.843217806,0.865059942,0.91210942,0.258138303
0.61982496,1.050779768,0.02686404,0.997512558,0.997322836,0.997751871,-0.040976666,-1.039796234,1977,0.85053889,0.840087704,0.863904631,0.959851527,0.353526711
0.694586865,1.177111292,0.080592135,0.997480634,0.997264533,0.997731168,0.010041987,-0.725332689,1978,0.848771398,0.836901434,0.862740244,1.010092577,0.484163466
