LME_NAME,LME_NUMBER,Socioeconomic_Index_(HDI),Fishery_Aquaculture_Index,Tourism_Index,Ship_and_Oil_Index,Marine_Industry_Activity_Index,Fish_species_richness,Geometric_mean_species_length_(cm),SST_Change_(°C)_1982-2006,SAL_avg,SAL_sd,SST_avg,SST_sd,WINDSPE_avg,WINDSPE_sd,SAL_SST_WINDSPE_num_obs,DIN,DON,PN,DIP,DOP,PP,DSi,N:P_molar_ratio,STN_Basin_Count_nutrients,DO_avg,DO_sd,DO_num_obs,Chl-a_Month_Min,Chl-a_Month_Max,Chl-a_Min,Chl-a_Max,Chl-a-avg,Count_Density_micro_(counts/km2),Count_Density_macro_(counts/km2),Count_Density_total_(counts/km2),Weight_Density_micro_(g/km2),Weight_Density_macro_(g/km2),Weight_Density_total_(g/km2),PCO2_avg,PCO2_sd,PCO2_num_obs
East Bering Sea,1,93.9,17.4,57.9,44,41.4,249,31.84,0.27,32.49,0.29,2.37,1.38,11.61,0.32,8,0.01,0.03,0.03,0,0,0.01,0.25,11.75,37,0.8,0.02,8,NOV,MAY,0.36,1.14,0.65,10.6,24.4,35.6,0.1,3.4,3.5,350.3,175,8
Gulf of Alaska,2,94,13.7,48.2,32.5,31.9,317,37.41,0.37,32.47,0.04,6.5,2.7,11.18,0.11,9,0.19,0.21,0.3,0.01,0.01,0.15,3.55,11.5,112,0.73,0.08,8,DEC,MAY,0.26,0.7,0.49,105.6,59.1,175.6,0.5,17.8,18.3,345.8,61.2,9
California Current,3,88,12.1,43.7,35,32.2,804,36.7,-0.07,33.49,0.4,16.02,10.61,7.32,2.14,9,0.17,0.12,0.1,0.01,0.01,0.05,1.21,15.53,56,0.4,0.03,10,SEP,FEB,0.18,0.24,0.21,3095.2,272.6,3400.7,14.6,238.1,253.2,364.6,241.1,9
Gulf of California,4,80.2,4.9,24.9,23.1,19.8,383,30.01,0.31,na,na,na,na,na,na,0,0.02,0.01,0.02,0,0,0.01,0.28,12.2,43,0.43,0,1,AUG,MAR,0.31,1,0.61,1742.4,158.6,1907,8,123.5,131.5,na,na,0
Gulf of Mexico,5,89.1,13,46.3,36.6,33.8,984,35.38,0.31,35.7,0.3,22.85,3.34,7.87,0.25,5,1.06,0.36,0.34,0.05,0.02,0.16,3.48,18.86,80,0.48,0.04,4,JUN,JAN,0.16,0.3,0.21,19558.3,1129.7,20701.8,105.3,1539.2,1644.9,371.1,9.5,5
Southeast U.S. Continental Shelf,6,90.8,13.1,44,33.1,31.3,11680,27.27,0.16,36.26,0,22.01,0,10.12,0,1,0.12,0.03,0.02,0.01,0,0.01,0.48,30.28,29,0.47,0,1,JUL,JAN,0.15,0.31,0.22,50454.1,2947.3,53457.2,297.8,4773.5,5071.8,358.8,0,1
Northeast U.S. Continental Shelf,7,94,15.5,52.8,37.9,36.4,645,46.92,0.23,na,na,na,na,na,na,0,0.38,0.1,0.06,0.03,0,0.02,0.89,24.42,52,0.89,0,1,AUG,APR,0.86,1.51,1.03,12602,550.5,13225.5,66.3,741.2,812.3,na,na,0
Scotian Shelf,8,94.3,4.9,25.4,5.3,9.2,197,64.28,0.89,32.45,0,3.43,0,10.73,0,1,0.06,0.02,0.01,0,0,0.01,0.26,30.6,23,1.23,0,1,DEC,APR,0.65,1.49,0.85,369.2,62.3,439.5,1.6,31.4,33,353.5,0,1
Newfoundland_Labrador Shelf,9,93.7,4.8,25.2,5.2,9.1,171,52.6,1.04,33.26,0.15,1.52,3.85,12.03,0.99,5,0.42,0.28,0.09,0.02,0.01,0.04,1.17,26.88,116,0.88,0.03,4,FEB,APR,0.4,0.89,0.58,647.3,76.6,735.4,2.9,46.6,49.5,328.8,98.7,5
Insular Pacific_Hawaiian,10,93.9,17.4,57.9,44,41.4,838,31.19,0.45,35.16,0.03,23.28,1.58,8.17,1.41,5,0.01,0,na,0,0,na,0.32,67.18,4,0.24,0,3,JUN,JAN,0.05,0.07,0.06,12641.1,721.8,13377.8,65.5,909.7,975.4,347.7,11.5,5
Pacific Central_American Coastal,11,77.3,2.4,8.9,7.6,6.8,943,35.39,0.14,33.24,1.06,26.58,1.59,4.78,0.89,5,0.33,0.2,0.25,0.03,0.01,0.13,4.08,15.35,89,0.29,0.01,6,AUG,MAR,0.22,0.34,0.27,2305.7,299.1,2620,10.7,225.1,236,386.4,148.5,5
Caribbean Sea,12,73.2,1,3.6,2.2,2.2,15630,25.7,0.5,35.69,0.14,26.58,0.4,7.83,0.88,12,0.6,0.31,0.47,0.07,0.02,0.23,6.19,9.96,150,0.3,0.02,12,MAY,JAN,0.12,0.16,0.14,10225.9,617.1,10861.9,52.5,737.6,791.2,367.4,20.8,12
Humboldt Current,13,83,15.2,1.7,0.2,3.5,748,33.15,-0.1,34.34,0.36,16.23,33.97,7.85,5.46,12,0.18,0.1,0.19,0.02,0.01,0.09,2.17,11.47,149,0.76,0.1,10,MAR,OCT,0.36,0.49,0.42,897.5,43.2,954.4,4.2,34.7,39.2,366.4,663.6,12
