LME_NUMBER,LME,Month_MIN,Month_MAX,MIN_chl,MAX_chl,MEAN_chl
1,EAST_BERING_SEA,NOV,MAY,0.357,1.14,0.646
2,GULF_OF_ALASKA,DEC,MAY,0.26,0.699,0.491
3,CALIFORNIA_CURRENT,SEP,FEB,0.176,0.243,0.213
4,GULF_OF_CALIFORNIA,AUG,MAR,0.308,0.997,0.614
5,GULF_OF_MEXICO,JUN,JAN,0.16,0.297,0.213
6,SOUTHEAST_US_CONTINENTAL_SHELF,JUL,JAN,0.153,0.314,0.221
7,NORTHEAST_US_CONTINENTAL_SHELF,AUG,APR,0.862,1.51,1.03
8,SCOTIAN_SHELF,DEC,APR,0.65,1.49,0.85
9,LABRADOR_NEWFOUNDLAND,FEB,APR,0.398,0.889,0.575
10,INSULAR_PACIFIC_HAWAIIAN,JUN,JAN,0.0523,0.0739,0.0595
11,PACIFIC_CENTRAL_AMERICAN_COASTAL,AUG,MAR,0.223,0.34,0.274
12,CARIBBEAN_SEA,MAY,JAN,0.12,0.156,0.139
13,HUMBOLDT_CURRENT,MAR,OCT,0.364,0.491,0.42
14,PATAGONIAN_SHELF,AUG,NOV,0.529,1.22,0.874
15,SOUTH_BRAZIL_SHELF,JAN,AUG,0.151,0.405,0.247
16,EAST_BRAZIL_SHELF,DEC,JUN,0.0713,0.108,0.0875
17,NORTH_BRAZIL_SHELF,NOV,JUN,0.23,0.574,0.363
18,CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND,MAR,MAY,0.271,0.71,0.465
19,GREENLAND_SEA,MAR,JUN,0.179,0.671,0.388
20,BARENTS_SEA,MAR,OCT,0.274,1.93,0.702
21,NORWEGIAN_SEA,MAR,JUN,0.205,0.696,0.477
22,NORTH_SEA,JUL,JAN,0.813,3.06,1.25
23,BALTIC_SEA,FEB,JUL,2.07,5.76,3.78
24,CELTIC_BISCAY_SHELF,JAN,MAY,0.447,0.977,0.623
25,IBERIAN_COASTAL,SEP,APR,0.229,0.59,0.335
26,MEDITERRANEAN_SEA,AUG,FEB,0.0866,0.252,0.155
27,CANARY_CURRENT,SEP,FEB,0.235,0.575,0.373
28,GUINEA_CURRENT,MAY,JAN,0.237,0.45,0.327
29,BENGUELA_CURRENT,JAN,SEP,0.426,0.75,0.571
30,AGULHAS_CURRENT,DEC,JUL,0.109,0.207,0.153
31,SOMALI_COASTAL_CURRENT,APR,AUG,0.108,0.31,0.202
32,ARABIAN_SEA,MAY,AUG,0.174,0.633,0.401
33,RED_SEA,AUG,JAN,0.122,0.381,0.23
34,BAY_OF_BENGAL,MAY,SEP,0.155,0.247,0.208
35,GULF_OF_THAILAND,APR,DEC,0.228,0.436,0.312
36,SOUTH_CHINA_SEA,MAY,JAN,0.137,0.257,0.185
37,SULU_CELEBES_SEA,OCT,JAN,0.143,0.201,0.161
38,INDONESIAN_SEA,NOV,AUG,0.201,0.366,0.254
39,NORTH_AUSTRALIAN_SHELF,DEC,JUN,0.308,0.633,0.43
40,NORTHEAST_AUSTRALIAN_SHELF,FEB,JUL,0.0822,0.13,0.0995
41,EAST_CENTRAL_AUSTRALIAN_SHELF,FEB,AUG,0.0804,0.214,0.138
42,SOUTHEAST_AUSTRALIAN_SHELF,JUL,OCT,0.221,0.326,0.271
43,SOUTH_WEST_AUSTRALIAN_SHELF,JAN,JUN,0.135,0.248,0.194
44,WEST_CENTRAL_AUSTRALIAN_SHELF,DEC,JUL,0.104,0.226,0.15
45,NORTHWEST_AUSTRALIAN_SHELF,DEC,JUL,0.11,0.247,0.158
46,NEW_ZEALAND_SHELF,FEB,OCT,0.234,0.394,0.292
47,EAST_CHINA_SEA,AUG,APR,0.348,0.72,0.48
48,YELLOW_SEA,JUL,MAR,1.31,2.47,1.91
49,KUROSHIO_CURRENT,AUG,APR,0.0986,0.259,0.166
50,SEA_OF_JAPAN,AUG,APR,0.241,0.918,0.444
51,OYASHIO_CURRENT,JAN,MAY,0.278,0.916,0.534
52,SEA_OF_OKHOTSK,FEB,JUN,0.302,1.43,0.696
53,WEST_BERING_SEA,FEB,MAY,0.265,1.33,0.627
54,NORTHERN_BERING_CHUKCHI_SEAS,AUG,FEB,0.666,2.63,1.26
55,BEAUFORT_SEA,MAR,JUL,0.164,0.679,0.449
56,EAST_SIBERIAN_SEA,MAR,JUL,0.315,2.28,1.03
57,LAPTEV_SEA,APR,SEP,0.414,2.97,1.22
58,KARA_SEA,APR,OCT,0.304,15.1,2.67
59,ICELAND_SHELF_AND_SEA,MAR,JUN,0.235,0.784,0.552
60,FAROE_PLATEAU,FEB,JUL,0.159,0.814,0.47
61,ANTARCTICA,AUG,JAN,0.144,0.629,0.332
62,BLACK_SEA,JUL,NOV,0.762,1.11,0.938
63,HUDSON_BAY_COMPLEX,APR,NOV,0.394,3.44,0.944
64,CENTRAL_ARCTIC,APR,JUL,0.175,0.411,0.28
65,ALEUTIAN_ISLANDS,MAR,AUG,0.3,0.814,0.535
66,CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND,APR,AUG,0.224,0.58,0.38
67,PACIFIC_WARM_POOL,NOV,MAR,0.0595,0.0792,0.0682
