LME_NUMBER,DIN,DON,PN,DIP,DOP,PP,DSi,N:P molar ratio,STN Basin Count
1,0.01,0.028,0.027,0.001,0.0015,0.0115,0.25,11.75,37
2,0.187,0.208,0.299,0.0124,0.0111,0.1467,3.548,11.5,112
3,0.172,0.115,0.096,0.0102,0.006,0.0467,1.205,15.53,56
4,0.015,0.007,0.015,0.0009,0.0004,0.0074,0.282,12.2,43
5,1.06,0.358,0.337,0.051,0.0193,0.1561,3.482,18.86,80
6,0.123,0.033,0.016,0.0084,0.0016,0.0068,0.484,30.28,29
7,0.377,0.103,0.055,0.0299,0.0048,0.0228,0.893,24.42,52
8,0.064,0.024,0.013,0.0015,0.0013,0.0054,0.263,30.6,23
9,0.416,0.276,0.088,0.0169,0.0143,0.0367,1.172,26.88,116
10,0.009,0.004,na,0.0002,0.0002,na,0.315,67.18,4
11,0.331,0.195,0.248,0.0276,0.01,0.1284,4.084,15.35,89
12,0.597,0.311,0.472,0.0683,0.0168,0.2345,6.194,9.96,150
13,0.177,0.101,0.194,0.0159,0.0054,0.0905,2.174,11.47,149
14,0.506,0.29,0.162,0.0232,0.0158,0.0753,1.908,27.5,84
15,0.191,0.064,0.045,0.0281,0.0035,0.0203,0.812,14.93,26
16,0.104,0.068,0.046,0.0098,0.0041,0.0206,0.773,21.74,48
17,1.464,2.504,2.389,0.1395,0.1356,1.0122,24.621,11.16,61
18,0.051,0.035,0.046,0.0011,0.0019,0.0222,0.172,27.72,345
19,0.021,0.016,0.018,0.0006,0.0008,0.0092,0.123,20.99,78
20,0.17,0.131,0.104,0.0057,0.007,0.0442,1.233,15.46,192
21,0.019,0.023,0.033,0.0013,0.0012,0.0151,0.49,10.59,23
22,0.589,0.153,0.077,0.0496,0.0065,0.0331,1.118,29.76,82
23,0.317,0.128,0.069,0.0246,0.0062,0.0286,0.986,20.6,119
24,0.625,0.103,0.069,0.0529,0.0055,0.0292,1.137,21.07,79
25,0.108,0.035,0.029,0.0155,0.0016,0.0128,0.385,14.61,34
26,0.547,0.164,0.219,0.0935,0.0074,0.1172,1.609,9.04,248
27,0.042,0.025,0.033,0.0043,0.0013,0.0146,0.233,13.37,60
28,0.675,0.796,0.666,0.0338,0.0427,0.3059,7.193,14.23,83
29,0.09,0.043,0.201,0.0028,0.0022,0.0899,0.406,21.36,54
30,0.462,0.272,0.466,0.023,0.0144,0.2142,3.157,16.55,126
31,0.05,0.038,0.102,0.0026,0.0021,0.0536,1.282,8.47,47
32,0.355,0.125,0.126,0.0241,0.0069,0.0641,0.753,15.83,176
33,0.01,0.005,0.09,0.0047,0.0002,0.04,0.089,7.35,76
34,4.14,0.877,2.123,0.2368,0.0536,1.2193,10.289,11.18,133
35,0.119,0.077,0.098,0.01,0.0044,0.0469,1.14,13.6,38
36,1.945,0.568,0.825,0.0907,0.0324,0.416,9.781,14.48,110
37,0.164,0.125,0.357,0.0094,0.0068,0.1763,2.745,12.27,62
38,0.34,0.301,0.456,0.0387,0.0154,0.225,6.631,15.52,140
39,0.062,0.063,0.07,0.0025,0.0034,0.03,0.606,11.66,55
40,0.051,0.033,0.033,0.0022,0.0018,0.0146,0.313,17.27,34
41,0.04,0.017,0.015,0.0057,0.0008,0.0065,0.257,16.66,29
42,0.056,0.025,0.024,0.0049,0.0013,0.011,0.369,18.9,54
43,0.007,0.004,0.008,0.0009,0.0002,0.0036,0.036,15,54
44,0.007,0.004,0.004,0.0012,0.0002,0.0021,0.034,9.87,19
45,0.01,0.01,0.029,0.0002,0.0006,0.0135,0.137,10.11,32
46,0.376,0.11,0.11,0.0396,0.0079,0.0515,2.069,16.53,72
47,2.324,0.388,0.252,0.1146,0.023,0.1218,2.681,25.45,31
48,0.444,0.093,0.062,0.0543,0.0043,0.0302,0.584,18.58,50
49,0.373,0.091,0.152,0.0591,0.0046,0.0812,1.577,17.12,55
50,0.332,0.076,0.122,0.0232,0.0047,0.0605,1.539,21.88,87
51,0.017,0.006,0.009,0.0003,0.0003,0.0039,0.195,17.04,8
52,0.223,0.173,0.16,0.0147,0.0092,0.0682,2.319,12.83,126
53,0.02,0.03,0.039,0.0013,0.0016,0.0175,1.032,10.38,60
54,0.032,0.053,0.068,0.001,0.0028,0.0319,0.7,10.58,117
55,0.039,0.093,0.132,0.0014,0.005,0.0582,0.793,9.03,300
56,0.025,0.05,0.051,0.0008,0.0027,0.0217,0.301,10.14,50
57,0.068,0.181,0.219,0.004,0.0097,0.0943,1.178,8.89,164
58,0.222,0.362,0.287,0.017,0.019,0.122,2.562,11.48,185
59,0.019,0.016,0.022,0.001,0.0009,0.01,0.413,11.87,31
60,na,na,na,na,na,na,0.017,27.33,1
62,0.391,0.16,0.097,0.0531,0.0068,0.0449,1.109,15.99,63
63,0.199,0.249,0.123,0.0069,0.0133,0.051,1.843,19.38,233
66,0.003,0.005,0.039,0,0.0003,0.0195,0.016,23.81,342
