AREAID,km2,lat,lon
Argentina-CFP-ARG-N,979766,-36.33,-56.93
Argentina-CFP-ARG-S,2924714,-50,-59.28
Australia-AFMA-CASCADE,271,-43.92,150.46
Australia-AFMA-ESE,894716,-37.72,150.56
Australia-AFMA-MI,247031,-54.72,158.86
Australia-AFMA-GAB,2557954,-35.75,131.31
Australia-AFMA-GAB-SESSF,2557954,-35.75,131.31
Australia-AFMA-NAUST,8355535,-17.24,133.18
Australia-AFMA-SESSF,3041179,-35.27,157.28
Australia-AFMA-TAS,581887,-42.03,146.6
Australia-AFMA-SE,5430238,-34.03,147.02
Australia-AFMA-WSE,1232722,-36.88,138.69
Canada-DFO-23K,1228864,54.4,-54.66
Canada-DFO-2J3KL,1004991,51.43,-51.89
Canada-DFO-2J3KLNOPs,1556983,48.97,-51.74
Canada-DFO-3Pn4RS,505847,50.38,-65.12
Canada-DFO-3Pn4RSTVn,913775,49.1,-65.88
Canada-DFO-3Ps,125784,46.5,-55.89
Canada-DFO-4R,70600,49.81,-58.02
Canada-DFO-4RST,858583,49.22,-66.22
Canada-DFO-4T,364842,47.51,-67.57
Canada-DFO-4TVn,399488,47.41,-66.87
Canada-DFO-4Vn,35668,46.39,-59.58
Canada-DFO-4VsW,570694,41.86,-58.22
Canada-DFO-4VWX,816503,42.41,-60.11
Canada-DFO-4VWX5,1076868,42.27,-62.39
Canada-DFO-4VWX5Zc,944464,42.56,-61.27
Canada-DFO-4X,218106,43.14,-65.16
Canada-DFO-4X5Y,329151,43.36,-66.54
Canada-DFO-4X5YZ,511800,42.41,-67.3
Canada-DFO-5Zejm,92253,40.5,-68
Canada-DFO-5Zjm,92253,40.5,-68
Canada-DFO-ATL,3171572,48.34,-53.94
Canada-DFO-CC,74251,52.38,-129.02
Canada-DFO-HS,39969,53.12,-130.83
Canada-DFO-PCOAST,1114534,52.18,-126.97
Canada-DFO-PRD,115649,53.12,-130.83
Canada-DFO-QCI,17952,52.68,-131.79
Canada-DFO-SOG,19260,49.35,-123.86
Canada-DFO-WCVANI,78771,49.64,-126.69
Iran-Iran-CS,885906,41.68,51.05
multinational-CCAMLR-RS,10060140,-75.05,-174.01
multinational-CCSBT-SO,46033059,-70.49,-0.85
multinational-GFCMED-BLACKW,366951,42.75,37.88
multinational-IATTC-EPAC,35180027646,3.56,71.62
