COUNTRY,AREATYPE,AREACODE,AREANAME,ALTERNATEAREANAME,AREAID
Argentina,CFP,ARG-N,Northern Argentina,NA,Argentina-CFP-ARG-N
Argentina,CFP,ARG-S,Southern Argentina,NA,Argentina-CFP-ARG-S
Australia,AFMA,CASCADE,Cascade Plateau,NA,Australia-AFMA-CASCADE
Australia,AFMA,ESE,Eastern half of Southeast Australia,NA,Australia-AFMA-ESE
Australia,AFMA,GAB,Great Australian Bight,NA,Australia-AFMA-GAB
Australia,AFMA,MI,Macquarie Island,,Australia-AFMA-MI
Australia,AFMA,NAUST,Northern Australia,NA,Australia-AFMA-NAUST
Australia,AFMA,SE,Southeast Australia,NA,Australia-AFMA-SE
Australia,AFMA,TAS,Tasmania,NA,Australia-AFMA-TAS
Australia,AFMA,WSE,Western half of Southeast Australia,NA,Australia-AFMA-WSE
Canada,DFO,23K,Labrador - NE Newfoundland,NA,Canada-DFO-23K
Canada,DFO,2J3KL,Southern Labrador-Eastern Newfoundland,NA,Canada-DFO-2J3KL
Canada,DFO,2J3KLNOPs,Labrador Shelf-Grand Banks-S. Pierre Bank,NA,Canada-DFO-2J3KLNOPs
Canada,DFO,3Pn4RS,Northern Gulf of St. Lawrence,NA,Canada-DFO-3Pn4RS
Canada,DFO,3Pn4RSTVn,Gulf of St. Lawrence and Cabot Strait,NA,Canada-DFO-3Pn4RSTVn
Canada,DFO,3Ps,St. Pierre Bank,NA,Canada-DFO-3Ps
Canada,DFO,4R,NAFO division 4R,NA,Canada-DFO-4R
Canada,DFO,4RST,Gulf of St. Lawrence,NA,Canada-DFO-4RST
Canada,DFO,4T,Southern Gulf of St. Lawrence,NA,Canada-DFO-4T
Canada,DFO,4TVn,Southern Gulf of St. Lawrence and Cabot Strait,NA,Canada-DFO-4TVn
Canada,DFO,4Vn,Cabot Strait,NA,Canada-DFO-4Vn
Canada,DFO,4VsW,Eastern Scotian Shelf,NA,Canada-DFO-4VsW
Canada,DFO,4VWX,Scotian Shelf and Bay of Fundy,NA,Canada-DFO-4VWX
Canada,DFO,4VWX5,"Scotian Shelf, Bay of Fundy and Georges Bank",NA,Canada-DFO-4VWX5
Canada,DFO,4VWX5Zc,"Scotian Shelf, Bay of Fundy and Georges Bank",NA,Canada-DFO-4VWX5Zc
Canada,DFO,4X,Western Scotian Shelf,NA,Canada-DFO-4X
Canada,DFO,4X5Y,"Western Scotian Shelf, Bay of Fundy and Gulf of Maine",NA,Canada-DFO-4X5Y
Canada,DFO,4X5YZ,"Western Scotian Shelf, Bay of Fundy, Gulf of Maine and Georges Bank",NA,Canada-DFO-4X5YZ
Canada,DFO,5Zejm,Georges Bank,NA,Canada-DFO-5Zejm
