LME_NUMBER,LME_NAME
60,Faroe Plateau
16,East Brazil Shelf
13,Humboldt Current
49,Kuroshio Current
24,Celtic-Biscay Shelf
45,Northwest Australian Shelf
-96,Subantarctic High Seas
15,South Brazil Shelf
31,Somali Coastal Current
35,Gulf of Thailand
48,Yellow Sea
19,East Greenland Shelf
10,Insular Pacific-Hawaiian
52,Sea of Okhotsk
26,Mediterranean Sea
14,Patagonian Shelf
33,Red Sea
-97,Indian High Seas
39,North Australian Shelf
62,Black Sea
21,Norwegian Sea
3,California Current
7,Northeast U.S. Continental Shelf
23,Baltic Sea
44,West Central Australian Shelf
17,North Brazil Shelf
38,Indonesian Sea
41,East Central Australian Shelf
29,Benguela Current
30,Agulhas Current
56,East Siberian Sea
28,Guinea Current
1,East Bering Sea
-95,Caspian Sea
32,Arabian Sea
36,South China Sea
18,West Greenland Shelf
34,Bay of Bengal
5,Gulf of Mexico
46,New Zealand Shelf
55,Beaufort Sea
59,Iceland Shelf
63,Hudson Bay
27,Canary Current
22,North Sea
42,Southeast Australian Shelf
-94,Atlantic High Seas hourglass
61,Antarctica
9,Newfoundland-Labrador Shelf
58,Kara Sea
12,Caribbean Sea
54,Chukchi Sea
47,East China Sea
2,Gulf of Alaska
11,Pacific Central-American Coastal
51,Oyashio Current
4,Gulf of California
6,Southeast U.S. Continental Shelf
8,Scotian Shelf
40,Northeast Australian Shelf
-99,Pacific High Seas
37,Sulu-Celebes Sea
25,Iberian Coastal
50,Sea of Japan
20,Barents Sea
53,West Bering Sea
-98,Atlantic High Seas
57,Laptev Sea
43,Southwest Australian Shelf
