STOCKID,LME_NUMBER,STOCKTOLMERELATION
COD1,18,primary
COD2J3KL,9,primary
COD2J3KLIS,9,primary
COD3M,9,primary
COD3NO,9,primary
COD3Ps,9,primary
COD3Pn4RS,9,primary
COD4T,8,primary
COD4VsW,8,primary
COD4TVn,8,primary
COD4X,7,primary
COD4X,8,secondary
COD5Y,7,primary
COD5Z,7,primary
COD5Zjm,7,primary
CODNEAR,20,primary
CODNEAR,21,secondary
CODBA2224,23,primary
CODBA2532,23,primary
CODVIa,24,primary
CODIS,24,primary
CODICE,59,primary
CODNS,22,primary
CODKAT,22,primary
CODVIId,24,primary
PCODGA,2,primary
PCODHS,2,primary
PCODWCVANI,2,primary
REXSOLEGA,2,primary
ARFLOUNDGA,2,primary
ARFLOUNDEBS,1,primary
FLSOLEGA,2,primary
FLSOLEEBS,1,primary
NRSOLEEBSAI,1,primary
PERCHGA,2,primary
PERCHEBSAI,1,primary
ALPLAEBS,1,primary
NROCKGA,2,primary
NROCKEBSAI,1,primary
REYEROCKGA,2,primary
ATKAGA,2,primary
ATKAAI,1,primary
AMPL5YZ,7,primary
AMPL23K,9,primary
AMPL3LNO,9,primary
AMPL3M,9,primary
AMPL3Ps,9,primary
AMPL3Ps,8,secondary
HAD4X,7,primary
HAD4X,8,secondary
HAD4X5Y,7,primary
HAD4X5Y,8,secondary
HAD5Y,7,primary
HAD5Z,7,primary
HAD5Zejm,7,primary
HADICE,59,primary
YELL5Z,7,primary
YELL3LNO,7,primary
YELL3LNO,8,secondary
YELLSNEMATL,7,primary
POLL5YZ,7,primary
POLL4VWX5Zc,7,primary
POLL4VWX5Zc,8,secondary
POLL4VWX5,7,primary
POLL4VWX5,8,secondary
POLL4X5YZ,7,primary
POLL4X5YZ,8,secondary
WITFLOUN5Y,7,primary
WINFLOUND5Y,7,primary
WINFLOUNSNEMATL,7,primary
WINFLOUN5Z,7,primary
WHAKE5YZ,7,primary
WINDOW5YZ,7,primary
WINDOWSNEMATL,7,primary
ACADRED5YZ,7,primary
ATHAL5YZ,7,primary
CAPENOR,20,primary
CAPEICE,59,primary
CODFAPL,60,primary
CODCOASTNOR,21,primary
CODCOASTNOR,22,secondary
GHALNEAR,20,primary
GHALNEAR,21,secondary
POLLNEAR,20,primary
POLLNEAR,21,secondary
POLLFAPL,60,primary
POLLNS-VI-IIIa,22,primary
POLLNS-VI-IIIa,24,secondary
HADNEAR,20,primary
HADNEAR,21,secondary
REDDEEPI-II,20,primary
REDDEEPI-II,21,secondary
HADFAPL,60,primary
HADNS-IIIa,22,primary
HADVIa,24,primary
HADVIIb-k,24,primary
HADROCK,24,primary
HADIS,24,primary
GOLDREDNEAR,20,primary
GOLDREDNEAR,21,secondary
LOBSTERRI,7,primary
TAUTOGRI,7,primary
WINFLOUNDRI,7,primary
SEELNS,22,primary
NPOUTNS,22,primary
HERRIsum,59,primary
HERRNS,22,primary
HERRVIa,24,primary
HERRVIaVIIbc,24,primary
HERR2224IIIa,22,primary
HERR2224IIIa,23,secondary
HERR2532,23,primary
HERR30,23,primary
HERR31,23,primary
HERRRIGA,23,primary
HERRNIRS,24,primary
PLAIC7d,24,primary
PLAICIIIa,22,primary
PLAICNS,22,primary
PLAICIS,24,primary
PLAICCELT,24,primary
PLAICECHW,24,primary
SOLENS,22,primary
SOLEVIId,24,primary
SOLEIS,24,primary
SOLEIIIa,22,primary
SOLEVIIe,24,primary
SOLECS,24,primary
SOLEVIII,24,primary
SOLEVIII,25,secondary
WHITNS-VIId-IIIa,22,primary
WHITNS-VIId-IIIa,24,secondary
WHITVIa,24,primary
BWHITNEA,24,primary
BWHITNEA,60,secondary
BWHITNEA,59,tertiary
BWHITNEA,21,quaternary
BWHITNEA,22,quintary
WHITVIIek,24,primary
SPRATNS,22,primary
SPRAT22-32,23,primary
GEMFISHSE,42,primary
NZLINGESE,42,primary
NZLINGWSE,43,primary
MORWONGSE,42,primary
SILVERFISHSE,42,primary
TIGERFLATSE,42,primary
SWHITSE,42,primary
ALBANPAC,-99,primary
ALBANATL,-98,primary
ALBASPAC,-99,primary
CROCKPCOAST,3,primary
ESOLEPCOAST,3,primary
ARFLOUNDPCOAST,3,primary
ARFLOUNDPCOAST,2,secondary
BLACKROCKNPCOAST,3,primary
BLUEROCKCAL,3,primary
CHILISPCOAST,3,primary
COWCODSCAL,3,primary
LNOSESKAPCOAST,3,primary
SABLEFPCOAST,3,primary
YEYEROCKPCOAST,3,primary
DKROCKPCOAST,3,primary
BLACKROCKSPCOAST,3,primary
BOCACCSPCOAST,3,primary
WROCKPCOAST,3,primary
POPERCHPCOAST,3,primary
SBELLYROCKPCOAST,3,primary
PHAKEPCOAST,3,primary
PHAKEPCOAST,2,secondary
CODGB,7,primary
HADGB,7,primary
YELLGB,7,primary
YELLCCODGOM,7,primary
CODGOM,7,primary
WITFLOUNNWATLC,7,primary
AMPLGOMGB,7,primary
WINFLOUNGOM,7,primary
WHAKEGBGOM,7,primary
POLLGBGOM,7,primary
ACADREDGOMGB,7,primary
OPOUTNWATLC,7,primary
WINDOWGOMGB,7,primary
WINDOWSNEMATLB,7,primary
HADGOM,7,primary
ATHALNWATLC,7,primary
SFLOUNMATLC,7,primary
SFLOUNMATLC,6,secondary
MONK2J3KLNOPs,9,primary
STRIPEDBASSGOMCHATT,7,primary
PANDALNWATLC,7,primary
SCALLNWATLC,7,primary
QUAHATLC,7,primary
SURFMATLC,7,primary
SDOGATLC,7,primary
SDOGATLC,6,secondary
MACKNEICES,24,primary
MACKNEICES,25,secondary
MACKNEICES,22,tertiary
FMEG8c9a,25,primary
MEG8c9a,25,primary
SARDPVIIIc-IXa,25,primary
BIGHTREDSE,43,primary
DEEPFLATHEADSE,43,primary
OROUGHYSE,42,primary
WAREHOUWSE,43,primary
WAREHOUESE,42,primary
SKJCWPAC,-99,primary
HAKENRTN,24,primary
HAKENRTN,22,secondary
HAKESOTH,25,primary
ANCHOBAYB,24,primary
ANCHOBAYB,25,secondary
HOKIENZ,46,primary
HOKIWNZ,46,primary
HERRWCVANI,2,primary
HERRQCI,2,primary
HERRCC,2,primary
HERRPRD,2,primary
HERRSOG,2,primary
HERR4VWX,8,primary
HERR4RFA,9,primary
HERR4RSP,9,primary
WHITBLACKW,62,primary
GHAL01ABCDEF,18,primary
GHAL23KLMNO,9,primary
SWORDNATL,-98,primary
SWORDMED,26,primary
ATBTUNAWATL,-98,primary
ATBTUNAEATL,-98,primary
ATBTUNAEATL,26,secondary
SPANMACKSATLC,6,primary
SPANMACKGM,5,primary
KMACKSATLC,6,primary
KMACKGM,5,primary
RGROUPGM,5,primary
GAGGM,5,primary
GTRIGGM,5,primary
VSNAPGM,5,primary
GRAMBERGM,5,primary
ARGHAKESARG,14,primary
ARGHAKENARG,14,primary
SBWHITARGS,14,primary
ARGANCHONARG,14,primary
ARGANCHOSARG,14,primary
PATGRENADIERSARG,14,primary
PHALNPAC,2,primary
PHALNPAC,1,secondary
REDFISHSPP3M,9,primary
BSKATCANATL,8,primary
BSKATCANATL,7,secondary
BSKATCANATL,9,tertiary
REDFISHSPP1,18,primary
REDFISHSPP3LN,9,primary
REDFISHSPP23K,9,primary
WHAKE4VWX5,8,primary
WHAKE4VWX5,7,secondary
GHAL4RST,9,primary
GHAL4RST,8,secondary
REDFISHSPP3Pn4RSTVn,9,primary
REDFISHSPP3Pn4RSTVn,8,secondary
HERR4TFA,8,primary
HERR4TSP,8,primary
OROUGHYCASCADE,42,primary
BTSHRIMPNAUST,39,primary
GTPRAWNNAUST,39,primary
RSOLEHSTR,2,primary
ESOLEHS,2,primary
SSLOBSTERSASC,30,primary
CTRACSA,30,primary
