ASSESSID,COMMON,AREA,POINTS_AVAILABLE,BMSY,SSBMSY,BLIM,SSBLIM,SSBPA,SSBTARGET,UMSY,FMSY,FLIM
ADFG-HERRPWS-1980-2006-COLLIE,Pacific herring,Prince William Sound,19,,,,,,,,,
ADFG-HERRSITKA-1978-2007-COLLIE,Pacific herring,Sitka,20,,,,,,,,,
AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK,Alaska plaice,Bering Sea and Aleutian Islands,20,,129300,,,,,,0.62,
AFSC-ARFLOUNDBSAI-1970-2008-STANTON,Arrowtooth flounder,Bering Sea and Aleutian Islands,19,,292200,,,,,,,0.29
AFSC-ARFLOUNDGA-1958-2010-STANTON,Arrowtooth flounder,Gulf of Alaska,14,,428307,,,,489493,,,
AFSC-ATKABSAI-1976-2009-STANTON,Atka mackerel,Bering Sea and Aleutian Islands,23,,85500,,,,,,,
AFSC-CABEZNCAL-1916-2005-STANTON,Cabezon,Northern California,16,,426,,,,,0.13,,
AFSC-CABEZSCAL-1932-2005-STANTON,Cabezon,Southern California,16,,96,,,,,0.13,,
AFSC-DSOLEGA-1978-2010-STANTON,Dover sole,Gulf of Alaska,11,,,,,,,,,
AFSC-DUSROCKGA-1973-2008-MELNYCHUK,Dusky rockfish,Gulf of Alaska,24,,15511,,,,,,0.107,
AFSC-FLSOLEBSAI-1977-2008-STANTON,Flathead sole,Bering Sea and Aleutian Islands,21,,139188,,,,139188,,0.279,
AFSC-FLSOLEGA-1978-2010-Stachura,Flathead sole,Gulf of Alaska,17,,43661,,,,,,0.481,
AFSC-GHALBSAI-1960-2009-STANTON,Greenland halibut,Bering Sea and Aleutian Islands,15,,38265,,,,,,0.566,
AFSC-GKINGCRABAIES-1990-2007-JENSEN,Golden king crab,Aleutian Islands Eastern segment,3,,38018,,,,,,,
AFSC-GKINGCRABAIWS-1989-2007-JENSEN,Golden king crab,Aleutian Islands Western segment,2,,42848,,,,,,,
AFSC-NROCKBSAI-1974-2009-STANTON,Northern rockfish,Bering Sea and Aleutian Islands,15,,48399,,,,,,0.0511,
AFSC-NROCKGA-1959-2008-MELNYCHUK,Northern rockfish,Gulf of Alaska,19,,19500,,,,,,0.073,
AFSC-NRSOLEEBSAI-1971-2008-STANTON,Northern rock sole,Eastern Bering Sea and Aleutian Islands,18,,173320,,,,,,0.183,
AFSC-PCODBSAI-1964-2008-MELNYCHUK,Pacific cod,Bering Sea and Aleutian Islands,22,,373000,,,,,,0.34,
AFSC-PCODGA-1964-2008-MELNYCHUK,Pacific cod,Gulf of Alaska,20,,89400,,,,,,0.64,
AFSC-PERCHEBSAI-1974-2009-STANTON,Pacific Ocean perch,Eastern Bering Sea and Aleutian Islands,16,,107627,,,,,,0.068,
AFSC-POPERCHGA-1959-2010-Stachura,Pacific ocean perch,Gulf of Alaska,24,,79664,,,,,,0.142,
AFSC-REXSOLEGA-1979-2008-STANTON,Rex sole,Gulf of Alaska,12,,18877,,,,,,10.23,
AFSC-REYEROCKBSAI-1974-2009-STANTON,Rougheye rockfish,Bering Sea and Aleutian Islands,18,,5883,4891,,,,,,
AFSC-REYEROCKGA-1974-2007-MELNYCHUK,Rougheye rockfish,Gulf of Alaska,18,,8694,,,,,,0.047,
AFSC-RKCRABBB-1960-2008-JENSEN,Red king crab,Bristol Bay,2,,34070,,,,,0.33,,
AFSC-RKCRABNS-1976-2008-JENSEN,Red king crab,Norton Sound,2,,1617.96,,,,,,,
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,Sablefish,Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,24,,100730,,,,,,0.101,
AFSC-SNOWCRABBS-1979-2008-JENSEN,Snow crab,Bering Sea,1,,418030.728,,,,,,,
AFSC-SRAKEROCKBSAI-1977-2008-STANTON,Shortraker rockfish,Bering Sea and Aleutian Islands,10,,139188,,,,,,0.0225,0.03
AFSC-WPOLLAI-1976-2008-MELNYCHUK,Walleye pollock,Aleutian Islands,15,,98987,,,,,,0.357,
AFSC-WPOLLEBS-1963-2008-MELNYCHUK,Walleye pollock,Eastern Bering Sea,20,,1919000,,,,,,,
AFSC-WPOLLGA-1964-2008-MELNYCHUK,Walleye pollock,Gulf of Alaska,20,903000,208000,,,,,0.187,0.286,
AFSC-YSOLEBSAI-1959-2008-MELNYCHUK,Yellowfin sole,Bering Sea and Aleutian Islands,21,,329000,,,,,,0.13,
AFWG-CAPENOR-1965-2007-MINTO,Capelin,Barents Sea,9,,,,200000,,,,,
AFWG-CODCOASTNOR-1982-2006-MINTO,Atlantic cod,North-East Arctic,8,,,,,,,,,
AFWG-CODNEAR-1943-2006-MINTO,Atlantic cod,North-East Arctic,17,,,,220000,460000,,,,0.74
AFWG-GHALNEAR-1959-2007-JENNINGS,Greenland halibut,North-East Arctic,9,,,,,,,,,
AFWG-GOLDREDNEAR-1986-2006-MINTO,Golden Redfish,North-East Arctic,8,,,,,,,,,
AFWG-HADNEAR-1947-2006-MINTO,Haddock,North-East Arctic,14,,,,50000,80000,,,,0.49
AFWG-POLLNEAR-1957-2006-MINTO,Pollock,North-East Arctic,14,,,,136000,220000,,,,0.58
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,Atlantic croaker,Mid-Atlantic Coast,10,,56467,,,,,,0.407,
ASMFC-LOBSTERGB-1981-2007-STANTON,American lobster,Georges Bank,4,,,,,,,,,
ASMFC-LOBSTERGOM-1981-2007-STANTON,American lobster,Gulf of Maine,4,,,,,,,,,
ASMFC-LOBSTERSNE-1981-2007-STANTON,American lobster,Southern New England,4,,,,,,,,,
ASMFC-PANDALGOM-1960-2009-IDOINE,Northern shrimp,Gulf of Maine,24,,,1540,,,,,0.77,0.6
CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,Antarctic toothfish,Ross Sea,15,18802.1604,,,,,,,0.136,
CCSBT-SC-SBT-1931-2009-Parma,Southern bluefin tuna,Southern Oceans,8,,277047.0811,,,,,,,
CSERG-ANCHOVYKILKACS-1991-2007-JENSEN,Anchovy kilka,Iranian Caspian Sea,13,,,,,,,,,
CSIRO-BIGHTREDSE-1958-2007-FULTON,Bight redfish,Southeast Australia,20,,16240.128,6766.72,,,,,,
CSIRO-BTSHRIMPNAUST-1970-2006-FULTON,Brown tiger shrimp,Northern Australia,3,,,,,,,,,
CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,Deepwater flathead,Southeast Australia,27,,3286.512,1369.38,,,,,,
CSIRO-GEMFISHSE-1966-2007-FULTON,common gemfish,Southeast Australia,23,,5458.32,2274.3,,,,,,
CSIRO-GTPRAWNNAUST-1970-2006-FULTON,Grooved Tiger Prawn,Northern Australia,3,,,,,,,,,
CSIRO-MORWONGSE-1913-2007-FULTON,Jackass morwong,Southeast Australia,25,,11482.608,4784.42,,,,,,
CSIRO-NZLINGESE-1968-2007-FULTON,Ling,Southeast Australia,24,,3324.48,1385.2,,,,,,
CSIRO-NZLINGWSE-1968-2007-FULTON,Ling,Western half of Southeast Australia,24,,3377.5632,1407.318,,,,,,
CSIRO-OROUGHYCASCADE-1987-2006-FULTON,Orange roughy,Cascade Plateau,15,,,,5716.3,13719.12,,,,
CSIRO-OROUGHYSE-1978-2007-FULTON,Orange roughy,Southeast Australia,16,,8149.26,,,,,,,
CSIRO-PTOOTHFISHMI-1975-2010-FAY,Patagonian toothfish,Macquarie Island,23,,869.707,,,,,,0.0580997,
CSIRO-SILVERFISHSE-1978-2006-FULTON,Silverfish,Southeast Australia,25,,9927.456,4136.44,,,,,,
CSIRO-SWHITSE-1945-2007-FULTON,School whiting,Southeast Australia,26,,3734.3088,1555.962,,,,,,
CSIRO-TIGERFLATSE-1913-2006-FULTON,Tiger flathead,Southeast Australia,26,,5472.868,2545.52,,,,,,
CSIRO-WAREHOUESE-1984-2006-FULTON,Blue Warehou,Eastern half of Southeast Australia,21,,1568.16,653.4,,,,,,
CSIRO-WAREHOUWSE-1984-2006-FULTON,Blue Warehou,Western half of Southeast Australia,21,,1568.16,653.4,,,,,,
DFO-COD5Zjm-1978-2003-PREFONTAINE,Atlantic cod,Georges Bank,9,,,,,,,,,
DFO-HAD5Zejm-1968-2003-PREFONTAINE,Haddock,Georges Bank,10,,,,,,,,,
DFO-HERR4VWX-1964-2006-PREFONTAINE,Herring,Scotian Shelf and Bay of Fundy,15,SEE NOTES,,,,,,,,
DFO-MAR-COD4VsW-1958-2002-PREFONTAINE,Atlantic cod,Eastern Scotian Shelf,12,,,,,,,,,
DFO-MAR-CUSK4X-1970-2007-RICARD,Cusk,Western Scotian Shelf,6,25790,,,,,,0.0575,,
DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE,Haddock,"Western Scotian Shelf, Bay of Fundy and Gulf of Maine",10,,,,,,,,,
DFO-NFLD-COD2J3KL-1850-2005-RICARD,Atlantic cod,Southern Labrador-Eastern Newfoundland,15,,,,,,,,,
DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE,Atlantic cod,Southern Labrador-Eastern Newfoundland,16,,,,,,,,,
DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE,Atlantic cod,St. Pierre Bank,11,,,,,,,,,
DFO-PAC-ESOLEHS-1944-2001-COLLIE,English sole,Hecate Strait,8,,,,,,,,,
DFO-PAC-HERRCC-1951-2007-COLLIE,Pacific herring,Central Coast,1,,,,,,,,,
DFO-PAC-HERRPRD-1951-2007-COLLIE,Pacific herring,Prince Rupert District,1,,,,,,,,,
DFO-PAC-HERRQCI-1951-2007-COLLIE,Pacific herring,Queen Charlotte Islands,1,,,,,,,,,
DFO-PAC-HERRSOG-1951-2007-COLLIE,Pacific herring,Straight of Georgia,1,,,,,,,,,
DFO-PAC-HERRWCVANI-1951-2007-COLLIE,Pacific herring,West Coast of Vancouver Island,1,,,,,,,,,
DFO-PAC-PCODHS-1956-2005-COLLIE,Pacific cod,Hecate Strait,13,8861,,11165,,,,,0.354,
DFO-PAC-PCODWCVANI-1956-2002-COLLIE,Pacific cod,West Coast of Vancouver Island,12,6731,,,,,,,0.226,
DFO-PAC-RSOLEHSTR-1945-2001-COLLIE,Rock sole,Hecate Strait,7,,,,,,,,,
DFO-PAC-SABLEFPCAN-1913-2004-STANTON,Sablefish,Pacific Coast of Canada,4,,56381,,,,,,0.047,
DFO-POLL4X5YZ-1980-2006-PREFONTAINE,Pollock,"Western Scotian Shelf, Bay of Fundy, Gulf of Maine and Georges Bank",9,,,,,,,,,
DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,Atlantic cod,Northern Gulf of St. Lawrence,13,,,,,,,,,
DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE,Herring,NAFO division 4R,16,,,47953,,,,,,
