TSN,SCIENTIFICNAME,KINGDOM,PHYLUM,CLASSNAME,ORDERNAME,FAMILY,GENUS,SPECIES,MYERSNAME,COMMONNAME1,COMMONNAME2,MYERSSCIENTIFICNAME,MYERSFAMILY
171342,Anarhichas minor,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,minor,SPWOLF,Spotted wolffish,NA,NA,NA
171341,Anarhichas lupus,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,lupus,STRWOLF,Striped wolffish,NA,NA,NA
167123,Anoplopoma fimbria,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,SABLEF,Sablefish,NA,NA,NA
172750,Scophthalmus maeoticus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Scophthalmidae,Scophthalmus,maeoticus,TURBOT,Black Sea turbot,NA,NA,NA
168598,Trachurus capensis,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,capensis,CTRAC,Cape horse mackerel,NA,NA,NA
168590,Trachurus mediterraneus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,mediterraneus,MTRAC,Mediterranean horse mackerel,NA,NA,NA
168586,Trachurus symmetricus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,symmetricus,STRAC,Pacific jack mackerel,South Pacific horse mackerel,NA,NA
168588,Trachurus trachurus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,trachurus,TRAC,Horse mackerel,Atlantic horse mackerel,NA,NA
642743,Champsocephalus gunnari,Animalia,Chordata,Actinopterygii,Perciformes,Channichthyidae,Champsocephalus,gunnari,CGUN,Mackerel icefish,NA,NA,NA
642960,Pseudochaenichthys georgianus,Animalia,Chordata,Actinopterygii,Perciformes,Channichthyidae,Pseudochaenichthys,georgianus,PSGEOR,South Georgia icefish,NA,NA,NA
161703,Alosa aestivalis,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,aestivalis,ALOSA,Blueback shad,Blueback herring,NA,NA
551288,Alosa kessleri,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,kessleri,ALOSK,Caspian anadromous shad,Black sea shad,NA,NA
161706,Alosa pseudoharengus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,pseudoharengus,ALEWIFE,Alewife,Gaspareau,NA,NA
161702,Alosa sapidissima,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,sapidissima,ATLALEWIFE,Atlantic shad,American shad,NA,NA
161732,Brevoortia tyrannus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,tyrannus,MENAT,Atlantic menhaden,NA,NA,NA
161734,Brevoortia patronus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,patronus,MENGF,Gulf menhaden,NA,NA,NA
161722,Clupea harengus,Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,harengus,HERR,Herring,Atlantic herring,NA,NA
