"","ASSESSID","X.1","X","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","B_msy..n...2","short_ID","BMSY","lnk","maxB","hit"
"1","ADFG-HERRPWS-1980-2006-COLLIE",1,1,"Gulf of Alaska","Clupea pallasii","Pacific herring","Prince William Sound",2,1,27,27,141792,141792,"ADFG1",141792,12.5553,105135,1
"2","ADFG-HERRSITKA-1978-2007-COLLIE",2,2,"Gulf of Alaska","Clupea pallasii","Pacific herring","Sitka",2,1,30,30,88967.7,88967.7,"ADFG2",88967.7,12.0892,131565,1
"3","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",3,3,"East Bering Sea","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands",1,1,34,33,884410,884410,"AFSC3",884410,14.3858,1729330,1
"4","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",4,4,"East Bering Sea","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands",1,1,33,39,850373,850373,"AFSC4",850373,14.3466,1090100,1
"5","AFSC-ARFLOUNDGA-1958-2010-STANTON",5,5,"Gulf of Alaska","Reinhardtius stomias","Arrowtooth flounder","Gulf of Alaska",2,1,47,45,1692250,1692250,"AFSC5",1692250,15.0347,2258230,1
"6","AFSC-ATKABSAI-1976-2009-STANTON",6,6,"East Bering Sea","Pleurogrammus monopterygius","Atka mackerel","Bering Sea and Aleutian Islands",1,1,33,32,312447,312447,"AFSC6",312447,13.3453,721683,1
"7","AFSC-CABEZNCAL-1916-2005-STANTON",7,7,"California Current","Scorpaenichthys marmoratus","Cabezon","Northern California",3,1,90,89,966.971,966.971,"AFSC7",966.971,7.56732,1947.75,1
"8","AFSC-CABEZSCAL-1932-2005-STANTON",8,8,"California Current","Scorpaenichthys marmoratus","Cabezon","Southern California",3,1,74,73,217.836,217.836,"AFSC8",217.836,6.07689,454.93,1
"9","AFSC-DSOLEGA-1978-2010-STANTON",9,9,"Gulf of Alaska","Microstomus pacificus","Dover sole","Gulf of Alaska",2,1,27,31,75052.1,75052.1,"AFSC9",75052.1,11.9191,173000,1
"10","AFSC-DUSROCKGA-1973-2008-MELNYCHUK",10,10,"Gulf of Alaska","Sebastes variabilis","Dusky rockfish","Gulf of Alaska",2,1,31,32,60993.8,60993.8,"AFSC10",60993.8,11.7117,72771,1
"11","AFSC-FLSOLEBSAI-1977-2008-STANTON",11,11,"East Bering Sea","Hippoglossoides elassodon","Flathead sole","Bering Sea and Aleutian Islands",1,1,32,32,494925,494925,"AFSC11",494925,13.8053,1012500,1
"12","AFSC-FLSOLEGA-1978-2010-Stachura",12,12,"Gulf of Alaska","Hippoglossoides elassodon","Flathead sole","Gulf of Alaska",2,1,27,33,173561,173561,"AFSC12",173561,12.7574,371040,1
"13","AFSC-GHALBSAI-1960-2009-STANTON",13,13,"East Bering Sea","Reinhardtius hippoglossoides","Greenland halibut","Bering Sea and Aleutian Islands",1,1,50,32,4.11e+17,4.11e+17,"AFSC13",4.11167e+17,41.2509,627372,1
"14","AFSC-GKINGCRABAIES-1990-2007-JENSEN",14,14,"East Bering Sea","Lithodes aequispinus","Golden king crab","Aleutian Islands Eastern segment",1,1,0,0,NA,NA,NA,NA,NA,NA,NA
"15","AFSC-GKINGCRABAIWS-1989-2007-JENSEN",15,15,"East Bering Sea","Lithodes aequispinus","Golden king crab","Aleutian Islands Western segment",1,1,0,0,NA,NA,NA,NA,NA,NA,NA
"16","AFSC-NROCKBSAI-1974-2009-STANTON",16,16,"East Bering Sea","Sebastes polyspinis","Northern rockfish","Bering Sea and Aleutian Islands",1,1,33,32,185876,185876,"AFSC14",185876,12.826,199321,1
"17","AFSC-NROCKGA-1959-2008-MELNYCHUK",17,17,"Gulf of Alaska","Sebastes polyspinis","Northern rockfish","Gulf of Alaska",2,1,48,47,73445.3,73445.3,"AFSC15",73445.3,11.8974,187340,1
"18","AFSC-NRSOLEEBSAI-1971-2008-STANTON",18,18,"East Bering Sea","Lepidopsetta polyxystra","Northern rock sole","Eastern Bering Sea and Aleutian Islands",1,1,34,32,957339,957339,"AFSC16",957339,14.4651,1864490,1
"19","AFSC-PCODBSAI-1964-2008-MELNYCHUK",19,19,"East Bering Sea","Gadus macrocephalus","Pacific cod","Bering Sea and Aleutian Islands",1,1,32,44,1315070,1315070,"AFSC17",1315070,14.7825,2418520,1
"20","AFSC-PCODGA-1964-2008-MELNYCHUK",20,20,"Gulf of Alaska","Gadus macrocephalus","Pacific cod","Gulf of Alaska",2,1,32,44,290444,290444,"AFSC18",290444,13.2723,405770,1
"21","AFSC-PERCHEBSAI-1974-2009-STANTON",21,21,"East Bering Sea","Sebastes alutus","Pacific Ocean perch","Eastern Bering Sea and Aleutian Islands",1,1,33,32,240138,240138,"AFSC19",240138,13.0821,411164,1
"22","AFSC-POPERCHGA-1959-2010-Stachura",22,22,"Gulf of Alaska","Sebastes alutus","Pacific ocean perch","Gulf of Alaska",2,1,50,50,1.15e+18,1.15e+18,"AFSC20",1.1544e+18,42.2833,1184740,1
"23","AFSC-REXSOLEGA-1979-2008-STANTON",23,23,"Gulf of Alaska","Glyptocephalus zachirus","Rex sole","Gulf of Alaska",2,1,26,27,113262,113262,"AFSC21",113262,12.3306,109000,1
"24","AFSC-REYEROCKBSAI-1974-2009-STANTON",24,24,"East Bering Sea","Sebastes aleutianus","Rougheye rockfish","Bering Sea and Aleutian Islands",1,1,33,32,48958.9,48958.9,"AFSC22",48958.9,11.4919,21297,1
"25","AFSC-REYEROCKGA-1974-2007-MELNYCHUK",25,25,"Gulf of Alaska","Sebastes aleutianus","Rougheye rockfish","Gulf of Alaska",2,1,31,31,25952.4,25952.4,"AFSC23",25952.4,10.8572,49471,1
"26","AFSC-RKCRABBB-1960-2008-JENSEN",26,26,"East Bering Sea","Paralithodes camtschaticus","Red king crab","Bristol Bay",1,1,24,48,6.21e+15,6.21e+15,"AFSC24",6.20751e+15,37.0577,103901,1
"27","AFSC-RKCRABNS-1976-2008-JENSEN",27,27,"East Bering Sea","Paralithodes camtschaticus","Red king crab","Norton Sound",1,1,0,0,NA,NA,NA,NA,NA,NA,NA
"28","AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK",28,28,"East Bering Sea","Anoplopoma fimbria","Sablefish","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska",1,2,49,53,318547,318547,"AFSC25",318547,13.3647,579000,1
"29","AFSC-SNOWCRABBS-1979-2008-JENSEN",29,29,"East Bering Sea","Chionoecetes opilio","Snow crab","Bering Sea",1,1,30,30,1222480,1222480,"AFSC26",1222480,14.7095,1029650,1
"30","AFSC-SRAKEROCKBSAI-1977-2008-STANTON",30,30,"East Bering Sea","Sebastes borealis","Shortraker rockfish","Bering Sea and Aleutian Islands",1,1,29,32,1.53e-07,1.53e-07,"AFSC27",1.53098e-07,-14.999,30045,1
"31","AFSC-WPOLLAI-1976-2008-MELNYCHUK",31,31,"East Bering Sea","Theragra chalcogramma","Walleye pollock","Aleutian Islands",1,1,31,31,3.58e+16,3.58e+16,"AFSC28",3.57638e+16,38.8089,1585100,1
"32","AFSC-WPOLLEBS-1963-2008-MELNYCHUK",32,32,"East Bering Sea","Theragra chalcogramma","Walleye pollock","Eastern Bering Sea",1,1,45,45,6223020,6223020,"AFSC29",6223020,16.3369,12704000,1
"33","AFSC-WPOLLGA-1964-2008-MELNYCHUK",33,33,"Gulf of Alaska","Theragra chalcogramma","Walleye pollock","Gulf of Alaska",2,1,32,44,2010230,2010230,"AFSC30",2010230,15.2069,4157000,1
"34","AFSC-YSOLEBSAI-1959-2008-MELNYCHUK",34,34,"East Bering Sea","Limanda aspera","Yellowfin sole","Bering Sea and Aleutian Islands",1,1,45,31,6435350,6435350,"AFSC31",6435350,16.3705,2834670,1
"35","AFWG-CAPENOR-1965-2007-MINTO",35,35,"Barents Sea","Mallotus villosus","Capelin","Barents Sea",20,1,35,42,5200350,5200350,"AFWG32",5200350,16.1574,8841000,1
"36","AFWG-CODCOASTNOR-1982-2006-MINTO",36,36,"Norwegian Sea","Gadus morhua","Atlantic cod","North-East Arctic",21,2,23,23,428945,428945,"AFWG33",428945,13.6622,310230,1
"37","AFWG-CODNEAR-1943-2006-MINTO",37,37,"Barents Sea","Gadus morhua","Atlantic cod","North-East Arctic",20,2,61,61,2604060,2604060,"AFWG34",2604060,15.4657,4168880,1
"38","AFWG-GHALNEAR-1959-2007-JENNINGS",38,38,"Barents Sea","Reinhardtius hippoglossoides","Greenland halibut","North-East Arctic",20,2,43,43,492579,492579,"AFWG35",492579,13.8006,312354,1
"39","AFWG-GOLDREDNEAR-1986-2006-MINTO",39,39,"Barents Sea","Sebastes norvegicus","Golden Redfish","North-East Arctic",20,2,17,21,NA,NA,NA,NA,NA,NA,NA
"40","AFWG-HADNEAR-1947-2006-MINTO",40,40,"Barents Sea","Melanogrammus aeglefinus","Haddock","North-East Arctic",20,2,57,57,439090,439090,"AFWG36",439090,13.6856,573954,1
"41","AFWG-POLLNEAR-1957-2006-MINTO",41,41,"Barents Sea","Pollachius virens","Pollock","North-East Arctic",20,2,47,47,772332,772332,"AFWG37",772332,14.2503,1309500,1
"42","ASMFC-ATLCROAKMATLC-1973-2002-STANTON",42,42,"Northeast U.S. Continental Shelf","Micropogonias undulatus","Atlantic croaker","Mid-Atlantic Coast",7,1,0,30,NA,NA,NA,NA,NA,NA,NA
"43","ASMFC-LOBSTERGB-1981-2007-STANTON",43,43,"Northeast U.S. Continental Shelf","Homarus americanus","American lobster","Georges Bank",7,1,0,27,NA,NA,NA,NA,NA,NA,NA
"44","ASMFC-LOBSTERGOM-1981-2007-STANTON",44,44,"Northeast U.S. Continental Shelf","Homarus americanus","American lobster","Gulf of Maine",7,1,0,27,NA,NA,NA,NA,NA,NA,NA
"45","ASMFC-LOBSTERSNE-1981-2007-STANTON",45,45,"Northeast U.S. Continental Shelf","Homarus americanus","American lobster","Southern New England",7,1,0,27,NA,NA,NA,NA,NA,NA,NA
"46","ASMFC-PANDALGOM-1960-2009-IDOINE",46,46,"Northeast U.S. Continental Shelf","Pandalus borealis","Northern shrimp","Gulf of Maine",7,1,25,49,17796.4,17796.4,"ASMFC38",17796.4,10.4799,30100,1
"47","CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN",47,47,"Subantarctic High Seas","Dissostichus mawsoni","Antarctic toothfish","Ross Sea",-96,1,13,13,NA,NA,NA,NA,NA,NA,NA
"48","CCSBT-SC-SBT-1931-2009-Parma",48,48,"Indian High Seas","Thunnus maccoyii","Southern bluefin tuna","Southern Oceans",-97,3,79,79,589220,589220,"CCSBT39",589220,13.9797,1383630,1
"49","CSERG-ANCHOVYKILKACS-1991-2007-JENSEN",49,49,"Caspian Sea","Clupeonella engrauliformis","Anchovy kilka","Iranian Caspian Sea",-95,1,10,17,NA,NA,NA,NA,NA,NA,NA
"50","CSIRO-BIGHTREDSE-1958-2007-FULTON",50,50,"Southwest Australian Shelf","Centroberyx gerrardi","Bight redfish","Southeast Australia",43,1,50,49,389763,389763,"CSIRO40",389763,13.5664,70359.9,1
"51","CSIRO-BTSHRIMPNAUST-1970-2006-FULTON",51,51,"North Australian Shelf","Penaeus esculentus","Brown tiger shrimp","Northern Australia",39,1,0,37,NA,NA,NA,NA,NA,NA,NA
"52","CSIRO-DEEPFLATHEADSE-1978-2007-FULTON",52,52,"Southwest Australian Shelf","Platycephalus conatus","Deepwater flathead","Southeast Australia",43,1,30,29,7626.82,7626.82,"CSIRO41",7626.82,9.63257,16486,1
"53","CSIRO-GEMFISHSE-1966-2007-FULTON",53,53,"Southeast Australian Shelf","Rexea solandri","common gemfish","Southeast Australia",42,1,42,42,376410,376410,"CSIRO42",376410,13.5316,38665.4,1
"54","CSIRO-GTPRAWNNAUST-1970-2006-FULTON",54,54,"North Australian Shelf","Penaeus esculentus","Grooved Tiger Prawn","Northern Australia",39,1,0,37,NA,NA,NA,NA,NA,NA,NA
