"","assessid","short_id"
"1","ADFG-HERRPWS-1980-2006-COLLIE","ADFG1"
"2","ADFG-HERRSITKA-1978-2007-COLLIE","ADFG2"
"3","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","AFSC3"
"4","AFSC-ARFLOUNDBSAI-1970-2008-STANTON","AFSC4"
"5","AFSC-ARFLOUNDGA-1958-2010-STANTON","AFSC5"
"6","AFSC-ATKABSAI-1976-2009-STANTON","AFSC6"
"7","AFSC-CABEZNCAL-1916-2005-STANTON","AFSC7"
"8","AFSC-CABEZSCAL-1932-2005-STANTON","AFSC8"
"9","AFSC-DSOLEGA-1978-2010-STANTON","AFSC9"
"10","AFSC-DUSROCKGA-1973-2008-MELNYCHUK","AFSC10"
"11","AFSC-FLSOLEBSAI-1977-2008-STANTON","AFSC11"
"12","AFSC-FLSOLEGA-1978-2010-Stachura","AFSC12"
"13","AFSC-GHALBSAI-1960-2009-STANTON","AFSC13"
"14","AFSC-NROCKBSAI-1974-2009-STANTON","AFSC14"
"15","AFSC-NROCKGA-1959-2008-MELNYCHUK","AFSC15"
"16","AFSC-NRSOLEEBSAI-1971-2008-STANTON","AFSC16"
"17","AFSC-PCODBSAI-1964-2008-MELNYCHUK","AFSC17"
"18","AFSC-PCODGA-1964-2008-MELNYCHUK","AFSC18"
"19","AFSC-PERCHEBSAI-1974-2009-STANTON","AFSC19"
"20","AFSC-POPERCHGA-1959-2010-Stachura","AFSC20"
"21","AFSC-REXSOLEGA-1979-2008-STANTON","AFSC21"
"22","AFSC-REYEROCKBSAI-1974-2009-STANTON","AFSC22"
"23","AFSC-REYEROCKGA-1974-2007-MELNYCHUK","AFSC23"
"24","AFSC-RKCRABBB-1960-2008-JENSEN","AFSC24"
"25","AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK","AFSC25"
"26","AFSC-SNOWCRABBS-1979-2008-JENSEN","AFSC26"
"27","AFSC-SRAKEROCKBSAI-1977-2008-STANTON","AFSC27"
"28","AFSC-WPOLLAI-1976-2008-MELNYCHUK","AFSC28"
"29","AFSC-WPOLLEBS-1963-2008-MELNYCHUK","AFSC29"
"30","AFSC-WPOLLGA-1964-2008-MELNYCHUK","AFSC30"
"31","AFSC-YSOLEBSAI-1959-2008-MELNYCHUK","AFSC31"
"32","AFWG-CAPENOR-1965-2007-MINTO","AFWG32"
"33","AFWG-CODCOASTNOR-1982-2006-MINTO","AFWG33"
"34","AFWG-CODNEAR-1943-2006-MINTO","AFWG34"
"35","AFWG-GHALNEAR-1959-2007-JENNINGS","AFWG35"
"36","AFWG-HADNEAR-1947-2006-MINTO","AFWG36"
"37","AFWG-POLLNEAR-1957-2006-MINTO","AFWG37"
"38","ASMFC-PANDALGOM-1960-2009-IDOINE","ASMFC38"
"39","CCSBT-SC-SBT-1931-2009-Parma","CCSBT39"
"40","CSIRO-BIGHTREDSE-1958-2007-FULTON","CSIRO40"
"41","CSIRO-DEEPFLATHEADSE-1978-2007-FULTON","CSIRO41"
"42","CSIRO-GEMFISHSE-1966-2007-FULTON","CSIRO42"
"43","CSIRO-MORWONGSE-1913-2007-FULTON","CSIRO43"
"44","CSIRO-NZLINGESE-1968-2007-FULTON","CSIRO44"
"45","CSIRO-NZLINGWSE-1968-2007-FULTON","CSIRO45"
"46","CSIRO-OROUGHYCASCADE-1987-2006-FULTON","CSIRO46"
"47","CSIRO-OROUGHYSE-1978-2007-FULTON","CSIRO47"
"48","CSIRO-PTOOTHFISHMI-1975-2010-FAY","CSIRO48"
"49","CSIRO-SILVERFISHSE-1978-2006-FULTON","CSIRO49"
"50","CSIRO-SWHITSE-1945-2007-FULTON","CSIRO50"
"51","CSIRO-TIGERFLATSE-1913-2006-FULTON","CSIRO51"
"52","CSIRO-WAREHOUESE-1984-2006-FULTON","CSIRO52"
"53","CSIRO-WAREHOUWSE-1984-2006-FULTON","CSIRO53"
"54","DFO-COD5Zjm-1978-2003-PREFONTAINE","DFO54"
"55","DFO-HAD5Zejm-1968-2003-PREFONTAINE","DFO55"
"56","DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE","DFO56"
"57","DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE","DFO57"
"58","DFO-PAC-ESOLEHS-1944-2001-COLLIE","DFO58"
"59","DFO-PAC-HERRCC-1951-2007-COLLIE","DFO59"
"60","DFO-PAC-HERRPRD-1951-2007-COLLIE","DFO60"
"61","DFO-PAC-HERRQCI-1951-2007-COLLIE","DFO61"
"62","DFO-PAC-HERRSOG-1951-2007-COLLIE","DFO62"
