"","X.1","X","ASSESSID","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","stocks1$BMSY"
"1",1,1,"ADFG-HERRPWS-1980-2006-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Prince William Sound",2,1,27,27,141792,141792
"2",2,2,"ADFG-HERRSITKA-1978-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Sitka",2,1,30,30,88967.7,88967.7
"3",3,3,"AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","East Bering Sea","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands",1,1,34,33,884410,884410
"4",4,4,"AFSC-ARFLOUNDBSAI-1970-2008-STANTON","East Bering Sea","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands",1,1,33,39,850373,850373
"5",5,5,"AFSC-ARFLOUNDGA-1958-2010-STANTON","Gulf of Alaska","Reinhardtius stomias","Arrowtooth flounder","Gulf of Alaska",2,1,47,45,1692250,1692250
"6",6,6,"AFSC-ATKABSAI-1976-2009-STANTON","East Bering Sea","Pleurogrammus monopterygius","Atka mackerel","Bering Sea and Aleutian Islands",1,1,33,32,312447,312447
"7",7,7,"AFSC-CABEZNCAL-1916-2005-STANTON","California Current","Scorpaenichthys marmoratus","Cabezon","Northern California",3,1,90,89,966.971,966.971
"8",8,8,"AFSC-CABEZSCAL-1932-2005-STANTON","California Current","Scorpaenichthys marmoratus","Cabezon","Southern California",3,1,74,73,217.836,217.836
"9",9,9,"AFSC-DSOLEGA-1978-2010-STANTON","Gulf of Alaska","Microstomus pacificus","Dover sole","Gulf of Alaska",2,1,27,31,75052.1,75052.1
"10",10,10,"AFSC-DUSROCKGA-1973-2008-MELNYCHUK","Gulf of Alaska","Sebastes variabilis","Dusky rockfish","Gulf of Alaska",2,1,31,32,60993.8,60993.8
"11",11,11,"AFSC-FLSOLEBSAI-1977-2008-STANTON","East Bering Sea","Hippoglossoides elassodon","Flathead sole","Bering Sea and Aleutian Islands",1,1,32,32,494925,494925
"12",12,12,"AFSC-FLSOLEGA-1978-2010-Stachura","Gulf of Alaska","Hippoglossoides elassodon","Flathead sole","Gulf of Alaska",2,1,27,33,173561,173561
"13",13,13,"AFSC-GHALBSAI-1960-2009-STANTON","East Bering Sea","Reinhardtius hippoglossoides","Greenland halibut","Bering Sea and Aleutian Islands",1,1,50,32,4.11e+17,4.11167e+17
"14",14,14,"AFSC-GKINGCRABAIES-1990-2007-JENSEN","East Bering Sea","Lithodes aequispinus","Golden king crab","Aleutian Islands Eastern segment",1,1,0,0,NA,NA
"15",15,15,"AFSC-GKINGCRABAIWS-1989-2007-JENSEN","East Bering Sea","Lithodes aequispinus","Golden king crab","Aleutian Islands Western segment",1,1,0,0,NA,NA
"16",16,16,"AFSC-NROCKBSAI-1974-2009-STANTON","East Bering Sea","Sebastes polyspinis","Northern rockfish","Bering Sea and Aleutian Islands",1,1,33,32,185876,185876
"17",17,17,"AFSC-NROCKGA-1959-2008-MELNYCHUK","Gulf of Alaska","Sebastes polyspinis","Northern rockfish","Gulf of Alaska",2,1,48,47,73445.3,73445.3
"18",18,18,"AFSC-NRSOLEEBSAI-1971-2008-STANTON","East Bering Sea","Lepidopsetta polyxystra","Northern rock sole","Eastern Bering Sea and Aleutian Islands",1,1,34,32,957339,957339
"19",19,19,"AFSC-PCODBSAI-1964-2008-MELNYCHUK","East Bering Sea","Gadus macrocephalus","Pacific cod","Bering Sea and Aleutian Islands",1,1,32,44,1315070,1315070
"20",20,20,"AFSC-PCODGA-1964-2008-MELNYCHUK","Gulf of Alaska","Gadus macrocephalus","Pacific cod","Gulf of Alaska",2,1,32,44,290444,290444
"21",21,21,"AFSC-PERCHEBSAI-1974-2009-STANTON","East Bering Sea","Sebastes alutus","Pacific Ocean perch","Eastern Bering Sea and Aleutian Islands",1,1,33,32,240138,240138
"22",22,22,"AFSC-POPERCHGA-1959-2010-Stachura","Gulf of Alaska","Sebastes alutus","Pacific ocean perch","Gulf of Alaska",2,1,50,50,1.15e+18,1.1544e+18
"23",23,23,"AFSC-REXSOLEGA-1979-2008-STANTON","Gulf of Alaska","Glyptocephalus zachirus","Rex sole","Gulf of Alaska",2,1,26,27,113262,113262
"24",24,24,"AFSC-REYEROCKBSAI-1974-2009-STANTON","East Bering Sea","Sebastes aleutianus","Rougheye rockfish","Bering Sea and Aleutian Islands",1,1,33,32,48958.9,48958.9
"25",25,25,"AFSC-REYEROCKGA-1974-2007-MELNYCHUK","Gulf of Alaska","Sebastes aleutianus","Rougheye rockfish","Gulf of Alaska",2,1,31,31,25952.4,25952.4
