"stock","res","yr","ct"
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1956,1436
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1957,1805
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1958,836
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1959,902
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1960,620
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1961,463
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1962,794
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1963,1307
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1964,1621
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1965,2923
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1966,3098
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1967,1957
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1968,1096
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1969,1001
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1970,1383
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1971,4556
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1972,5774
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1973,3314
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1974,3811
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1975,4077
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1976,3211
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1977,2264
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1978,1508
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1979,1544
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1980,1129
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1981,1524
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1982,611
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Medium",1983,887
