"stock","res","yr","ct"
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1980,71940
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1981,127730
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1982,66270
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1983,23820
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1984,59420
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1985,62410
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1986,84140
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1987,57610
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1988,92680
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1989,4900
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1990,79400
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1991,143910
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1992,192220
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1993,22970
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1994,0
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1995,0
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1996,4220
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1997,39570
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1998,34270
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",1999,420
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",2000,0
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",2001,0
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",2002,0
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",2003,0
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",2004,0
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",2005,0
"ADFG-HERRPWS-1980-2006-COLLIE","Medium",2006,0
