"ASSESSID","B_msy","C_msy"
"ADFG-HERRPWS-1980-2006-COLLIE",141792,50007.2313304261
"ADFG-HERRSITKA-1978-2007-COLLIE",88967.7,64586.3478533506
"AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",884410,15978.1196463947
"AFSC-ARFLOUNDBSAI-1970-2008-STANTON",850373,15944.4282709052
"AFSC-ARFLOUNDGA-1958-2010-STANTON",1692250,22828.2066196346
"AFSC-ATKABSAI-1976-2009-STANTON",312447,60767.2137819611
"AFSC-CABEZNCAL-1916-2005-STANTON",966.971,97.0097981820929
"AFSC-CABEZSCAL-1932-2005-STANTON",217.836,29.4566564216725
"AFSC-DSOLEGA-1978-2010-STANTON",75052.1,2195.56386296022
"AFSC-DUSROCKGA-1973-2008-MELNYCHUK",60993.8,3074.13076537685
"AFSC-FLSOLEBSAI-1977-2008-STANTON",494925,18431.9729150528
"AFSC-FLSOLEGA-1978-2010-Stachura",173561,2993.3273285677
"AFSC-GHALBSAI-1960-2009-STANTON",4.11e+17,25105.7989584427
"AFSC-GKINGCRABAIES-1990-2007-JENSEN",NA,NA
"AFSC-GKINGCRABAIWS-1989-2007-JENSEN",NA,NA
"AFSC-NROCKBSAI-1974-2009-STANTON",185876,3436.93651277945
"AFSC-NROCKGA-1959-2008-MELNYCHUK",73445.3,3965.50411156218
"AFSC-NRSOLEEBSAI-1971-2008-STANTON",957339,46704.3516467911
"AFSC-PCODBSAI-1964-2008-MELNYCHUK",1315070,202710.933442635
"AFSC-PCODGA-1964-2008-MELNYCHUK",290444,59685.075724934
"AFSC-PERCHEBSAI-1974-2009-STANTON",240138,13096.736313599
"AFSC-POPERCHGA-1959-2010-Stachura",1.15e+18,NA
"AFSC-REXSOLEGA-1979-2008-STANTON",113262,2556.76322811664
"AFSC-REYEROCKBSAI-1974-2009-STANTON",48958.9,639.131374990637
"AFSC-REYEROCKGA-1974-2007-MELNYCHUK",25952.4,805.363518821333
"AFSC-RKCRABBB-1960-2008-JENSEN",6.21e+15,17043.4702706691
"AFSC-RKCRABNS-1976-2008-JENSEN",NA,NA
"AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK",318547,22041.6420522107
"AFSC-SNOWCRABBS-1979-2008-JENSEN",1222480,63397.2186602008
"AFSC-SRAKEROCKBSAI-1977-2008-STANTON",1.53e-07,499.508404122497
"AFSC-WPOLLAI-1976-2008-MELNYCHUK",3.58e+16,38757.008946037
"AFSC-WPOLLEBS-1963-2008-MELNYCHUK",6223020,1347686.34118281
"AFSC-WPOLLGA-1964-2008-MELNYCHUK",2010230,100278.40727858
"AFSC-YSOLEBSAI-1959-2008-MELNYCHUK",6435350,125711.094314655
"AFWG-CAPENOR-1965-2007-MINTO",5200350,1136881.62412216
"AFWG-CODCOASTNOR-1982-2006-MINTO",428945,47088.2939370449
"AFWG-CODNEAR-1943-2006-MINTO",2604060,729622.290650009
"AFWG-GHALNEAR-1959-2007-JENNINGS",492579,28067.1109642575
"AFWG-GOLDREDNEAR-1986-2006-MINTO",NA,17841.1648306167
"AFWG-HADNEAR-1947-2006-MINTO",439090,154722.306993444
"AFWG-POLLNEAR-1957-2006-MINTO",772332,188339.542583109
