,LME_NUMBER,LME_NAME,xmin,xmax,ymin,ymax,x_centroid,y_centroid,N.P.molar.ratio,icep,icep_n,icep_p,DIN,DON,PN,DIP,DOP,PP,Dsi,PCB.Score,DDTs.Score,HCHs.Score,Chl_MIN,Chl_MIN_month,chl_MAX,chl_MAX_month,chl_MEAN,micro_Plastic_counts_km2,micro_Plastic_Weight_g_km2,macro_Plastics_counts_km2,macro_Plastic_Weigh_g_km2,total_plastic_counts_km2,total_plastic_weight_g_km2,Dissolved_oxygen,pCO2
1,-99,Pacific High Seas,-179.9999997,-85.4702907,179.9999997,-45.00000039,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,-98,Atlantic High Seas,29.99999954,-55.00000002,150.0000003,30.51916306,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,-97,Indian High Seas,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,-96,Subantarctic High Seas,-180,-59.99999983,180,66.41484554,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-95,Caspian Sea,-97.88826386,-60.00000008,68.5000004,90.00000049,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,East Bering Sea,9.433887482,30.24665833,53.59249923,65.9091568,-170.9228888,57.15859217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,2,Gulf of Alaska,135.1544037,165.6425018,43.78879975,62.71221161,-139.3470079,54.06321158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,3,California Current,-5.356777191,12.93749905,50.96719844,62.0067249,-122.505646,33.24888144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,5,Gulf of Mexico,-71.30332184,-43.53131866,42.68226242,60.45726019,-90.40403838,24.97869113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,6,Southeast U.S. Continental Shelf,-14.31174564,1.820156737,43.60214233,59.77182007,-78.75997931,30.42942907,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
11,7,Northeast U.S. Continental Shelf,127.3747025,142.267807,33.87192917,53.27286911,-70.42355801,40.96694522,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
12,8,Scotian Shelf,143.2482664,159.0205238,40.76054764,51.18857905,-61.44605914,45.58028745,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
13,9,Newfoundland-Labrador Shelf,-66.84369659,-55.4617157,42.25872421,48.90575759,-55.12655606,49.99918322,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
14,13,Humboldt Current,-5.477214324,36.21776962,30.26387978,45.78722,-75.23700091,-32.46370332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,14,Patagonian Shelf,-12.18201256,-1.467852592,35.94763184,44.90086365,-61.59576399,-46.3316279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,20,Barents Sea,-115.0352936,-105.717797,21.83747101,31.96805,35.96323519,76.38428104,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
17,21,Norwegian Sea,-97.89028931,-80.03049469,18.14583397,30.73582817,4.547729515,68.4481717,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
18,22,North Sea,42.50860977,78.01474762,5.980411529,30.51915892,2.777479199,57.38591682,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,23,Baltic Sea,32.34083176,43.48471065,12.46860981,30.0052681,19.71173337,58.9223674,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
20,24,Celtic-Biscay Shelf,-179.778183,-153.4767609,17.39858818,29.14307404,-7.551223134,51.68968604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,25,Iberian Coastal,-88.93000787,-59.43872452,7.90500021,26.50577927,-8.845199809,41.079155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
22,26,Mediterranean Sea,103.2697003,121.0869675,-2.772774239,24.94721985,16.74288818,37.11255106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
23,29,Benguela Current,117.0302963,128.2995758,0.814674735,14.82693958,12.49937672,-21.25090899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,30,Agulhas Current,99.14438629,105.1149979,1.45992186,13.60609957,40.77345298,-22.05525055,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,39,North Australian Shelf,140.7897797,158.8684082,-24.3782196,-9.189220429,135.2073842,-12.60626087,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
26,42,Southeast Australian Shelf,150.0517731,158.6018524,-36.54256821,-20.68486214,145.3053865,-41.02845899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,43,Southwest Australian Shelf,-53.48118591,-37.85607529,-35.24738312,-21.95367622,124.4213725,-35.17245099,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,46,New Zealand Shelf,131.4020691,154.9579773,-47.19242096,-35.31666946,171.8512007,-40.77470365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,52,Sea of Okhotsk,-44.33503737,8.327079138,59.00044085,81.70137563,148.9191836,53.77252356,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
30,53,West Bering Sea,-7.95247287,17.04611196,62.0052921,77.00496087,169.455044,57.17218432,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
31,59,Iceland Shelf,-180,180,50.67458751,53.69346925,-16.07256366,66.30742192,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
32,60,Faroe Plateau,-180,180,52.08764277,61.53128972,-8.005638302,61.49505854,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
