"ASSESSID","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","C_msy","if_collapse_cmsy","nyr_collapse_cmsy","if_collapse_bmsy","nyr_collapse_bmsy"
"ADFG-HERRPWS-1980-2006-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Prince William Sound",2,1,27,27,141792,50007.2313304261,0,1,1,13
"ADFG-HERRSITKA-1978-2007-COLLIE","Gulf of Alaska","Clupea pallasii","Pacific herring","Sitka",2,1,30,30,88967.7,64586.3478533506,0,1,0,1
"AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK","East Bering Sea","Pleuronectes quadrituberculatus","Alaska plaice","Bering Sea and Aleutian Islands",1,1,34,33,884410,15978.1196463947,0,0,0,0
"AFSC-ARFLOUNDBSAI-1970-2008-STANTON","East Bering Sea","Reinhardtius stomias","Arrowtooth flounder","Bering Sea and Aleutian Islands",1,1,33,39,850373,15944.4282709052,0,0,0,0
"AFSC-ARFLOUNDGA-1958-2010-STANTON","Gulf of Alaska","Reinhardtius stomias","Arrowtooth flounder","Gulf of Alaska",2,1,47,45,1692250,22828.2066196346,0,0,0,0
"AFSC-ATKABSAI-1976-2009-STANTON","East Bering Sea","Pleurogrammus monopterygius","Atka mackerel","Bering Sea and Aleutian Islands",1,1,33,32,312447,60767.2137819611,0,0,0,0
"AFSC-CABEZNCAL-1916-2005-STANTON","California Current","Scorpaenichthys marmoratus","Cabezon","Northern California",3,1,90,89,966.971,97.0097981820929,0,0,0,0
"AFSC-CABEZSCAL-1932-2005-STANTON","California Current","Scorpaenichthys marmoratus","Cabezon","Southern California",3,1,74,73,217.836,29.4566564216725,0,0,0,0
"AFSC-DSOLEGA-1978-2010-STANTON","Gulf of Alaska","Microstomus pacificus","Dover sole","Gulf of Alaska",2,1,27,31,75052.1,2195.56386296022,0,0,0,0
"AFSC-DUSROCKGA-1973-2008-MELNYCHUK","Gulf of Alaska","Sebastes variabilis","Dusky rockfish","Gulf of Alaska",2,1,31,32,60993.8,3074.13076537685,0,0,0,0
"AFSC-FLSOLEBSAI-1977-2008-STANTON","East Bering Sea","Hippoglossoides elassodon","Flathead sole","Bering Sea and Aleutian Islands",1,1,32,32,494925,18431.9729150528,0,0,0,0
"AFSC-FLSOLEGA-1978-2010-Stachura","Gulf of Alaska","Hippoglossoides elassodon","Flathead sole","Gulf of Alaska",2,1,27,33,173561,2993.3273285677,0,0,0,0
"AFSC-GHALBSAI-1960-2009-STANTON","East Bering Sea","Reinhardtius hippoglossoides","Greenland halibut","Bering Sea and Aleutian Islands",1,1,50,32,4.11e+17,25105.7989584427,0,0,1,50
"AFSC-GKINGCRABAIES-1990-2007-JENSEN","East Bering Sea","Lithodes aequispinus","Golden king crab","Aleutian Islands Eastern segment",1,1,0,0,NA,NA,0,0,0,0
"AFSC-GKINGCRABAIWS-1989-2007-JENSEN","East Bering Sea","Lithodes aequispinus","Golden king crab","Aleutian Islands Western segment",1,1,0,0,NA,NA,0,0,0,0
"AFSC-NROCKBSAI-1974-2009-STANTON","East Bering Sea","Sebastes polyspinis","Northern rockfish","Bering Sea and Aleutian Islands",1,1,33,32,185876,3436.93651277945,0,0,0,0
"AFSC-NROCKGA-1959-2008-MELNYCHUK","Gulf of Alaska","Sebastes polyspinis","Northern rockfish","Gulf of Alaska",2,1,48,47,73445.3,3965.50411156218,0,0,0,0
"AFSC-NRSOLEEBSAI-1971-2008-STANTON","East Bering Sea","Lepidopsetta polyxystra","Northern rock sole","Eastern Bering Sea and Aleutian Islands",1,1,34,32,957339,46704.3516467911,0,0,1,2
"AFSC-PCODBSAI-1964-2008-MELNYCHUK","East Bering Sea","Gadus macrocephalus","Pacific cod","Bering Sea and Aleutian Islands",1,1,32,44,1315070,202710.933442635,0,0,0,0
"AFSC-PCODGA-1964-2008-MELNYCHUK","Gulf of Alaska","Gadus macrocephalus","Pacific cod","Gulf of Alaska",2,1,32,44,290444,59685.075724934,0,0,0,0
"AFSC-PERCHEBSAI-1974-2009-STANTON","East Bering Sea","Sebastes alutus","Pacific Ocean perch","Eastern Bering Sea and Aleutian Islands",1,1,33,32,240138,13096.736313599,0,0,0,0
"AFSC-POPERCHGA-1959-2010-Stachura","Gulf of Alaska","Sebastes alutus","Pacific ocean perch","Gulf of Alaska",2,1,50,50,1.15e+18,NA,0,0,1,50
"AFSC-REXSOLEGA-1979-2008-STANTON","Gulf of Alaska","Glyptocephalus zachirus","Rex sole","Gulf of Alaska",2,1,26,27,113262,2556.76322811664,0,0,0,0
"AFSC-REYEROCKBSAI-1974-2009-STANTON","East Bering Sea","Sebastes aleutianus","Rougheye rockfish","Bering Sea and Aleutian Islands",1,1,33,32,48958.9,639.131374990637,0,0,0,0
