"","ASSESSID","X.1","X","LME_NAME","ADMB_BMSY","BRP_BMSY","BRP_SSBMSY","NUM_TOTAL","NUM_SSB","SCIENTIFICNAME","UMSY","FMSY","LME_NUMBER","LME_COUNT","final_analysis","upper_thresh","C_msy","collapse_brp_bmsy","collapse_brp_ssbmsy","collapse_cmsy","collapse_admb","TS_LENGTH","short_ID","BMSY"
"1","ADFG-HERRPWS-1980-2006-COLLIE",1,1,"Gulf of Alaska",141792,NA,NA,27,27,"Clupea pallasii",NA,NA,2,1,1,NA,50.0072313304261,NA,NA,0,1,27,"ADFG1",FALSE
"2","ADFG-HERRSITKA-1978-2007-COLLIE",2,2,"Gulf of Alaska",88967.7,NA,NA,30,30,"Clupea pallasii",NA,NA,2,1,1,NA,64.5863478533506,NA,NA,0,1,30,"ADFG2",FALSE
"3","AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK",3,3,"East Bering Sea",884410,NA,129300,34,34,"Pleuronectes quadrituberculatus",NA,0.62,1,1,1,NA,15.9781196463947,NA,0,0,0,34,"AFSC3",FALSE
"4","AFSC-ARFLOUNDBSAI-1970-2008-STANTON",4,4,"East Bering Sea",850373,NA,292200,33,33,"Reinhardtius stomias",NA,NA,1,1,1,NA,15.9444282709052,NA,0,0,0,33,"AFSC4",FALSE
"5","AFSC-ARFLOUNDGA-1958-2010-STANTON",5,5,"Gulf of Alaska",1692250,NA,428307,47,50,"Reinhardtius stomias",NA,NA,2,1,1,NA,22.8282066196346,NA,0,0,0,50,"AFSC5",FALSE
"6","AFSC-ATKABSAI-1976-2009-STANTON",6,6,"East Bering Sea",312447,NA,85500,33,33,"Pleurogrammus monopterygius",NA,NA,1,1,1,NA,60.7672137819611,NA,0,0,0,33,"AFSC6",FALSE
"7","AFSC-CABEZNCAL-1916-2005-STANTON",7,7,"California Current",966.971,NA,426,90,90,"Scorpaenichthys marmoratus",0.13,NA,3,1,1,NA,0.0970097981820929,NA,0,0,0,90,"AFSC7",FALSE
"8","AFSC-CABEZSCAL-1932-2005-STANTON",8,8,"California Current",217.836,NA,96,74,74,"Scorpaenichthys marmoratus",0.13,NA,3,1,1,NA,0.0294566564216725,NA,0,0,0,74,"AFSC8",FALSE
"9","AFSC-DSOLEGA-1978-2010-STANTON",9,9,"Gulf of Alaska",75052.1,NA,NA,27,24,"Microstomus pacificus",NA,NA,2,1,1,NA,2.19556386296022,NA,NA,0,0,27,"AFSC9",FALSE
"10","AFSC-DUSROCKGA-1973-2008-MELNYCHUK",10,10,"Gulf of Alaska",60993.8,NA,15511,31,31,"Sebastes variabilis",NA,0.107,2,1,1,NA,3.07413076537685,NA,0,0,0,31,"AFSC10",FALSE
