ASSESSID,LME_NAME,NUM_TOTAL,NUM_SSB,SCIENTIFICNAME,LME_NUMBER,LME_COUNT,collapse_admb,TS_LENGTH,YEAR_START,YEAR_COLLAPSE,YEAR_END
AFSC-RKCRABBB-1960-2008-JENSEN,East Bering Sea,24,24,Paralithodes camtschaticus,1,1,1,24,1976,1983,1983
AFSC-SRAKEROCKBSAI-1977-2008-STANTON,East Bering Sea,29,0,Sebastes borealis,1,1,0,29,1946,1974,1975
AFSC-SNOWCRABBS-1979-2008-JENSEN,East Bering Sea,30,30,Chionoecetes opilio,1,1,1,30,1972,1978,1978
AFSC-WPOLLAI-1976-2008-MELNYCHUK,East Bering Sea,31,31,Theragra chalcogramma,1,1,1,31,1949,1968,1968
AFSC-FLSOLEBSAI-1977-2008-STANTON,East Bering Sea,32,32,Hippoglossoides elassodon,1,1,0,32,1971,1979,2003
AFSC-PCODBSAI-1964-2008-MELNYCHUK,East Bering Sea,32,32,Gadus macrocephalus,1,1,0,32,1957,1969,1989
AFSC-ARFLOUNDBSAI-1970-2008-STANTON,East Bering Sea,33,33,Reinhardtius stomias,1,1,0,33,1950,1957,1983
AFSC-ATKABSAI-1976-2009-STANTON,East Bering Sea,33,33,Pleurogrammus monopterygius,1,1,0,33,1958,1988,1991
AFSC-NROCKBSAI-1974-2009-STANTON,East Bering Sea,33,33,Sebastes polyspinis,1,1,0,33,1946,1961,1979
AFSC-PERCHEBSAI-1974-2009-STANTON,East Bering Sea,33,33,Sebastes alutus,1,1,0,33,1959,1986,1992
AFSC-REYEROCKBSAI-1974-2009-STANTON,East Bering Sea,33,33,Sebastes aleutianus,1,1,0,33,1949,1949,1982
AFSC-RKCRABNS-1976-2008-JENSEN,East Bering Sea,0,33,Paralithodes camtschaticus,1,1,0,33,1971,1976,2004
AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK,East Bering Sea,34,34,Pleuronectes quadrituberculatus,1,1,0,34,1975,1986,2009
AFSC-NRSOLEEBSAI-1971-2008-STANTON,East Bering Sea,34,33,Lepidopsetta polyxystra,1,1,1,34,1963,1980,1980
AFSC-WPOLLEBS-1963-2008-MELNYCHUK,East Bering Sea,45,45,Theragra chalcogramma,1,1,0,45,1946,1980,1991
AFSC-YSOLEBSAI-1959-2008-MELNYCHUK,East Bering Sea,45,45,Limanda aspera,1,1,1,45,1962,2002,2002
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,East Bering Sea,49,49,Anoplopoma fimbria,1,2,0,49,1948,1983,1997
AFSC-GHALBSAI-1960-2009-STANTON,East Bering Sea,50,50,Reinhardtius hippoglossoides,1,1,1,50,1947,1947,1947
DFO-PAC-SABLEFPCAN-1913-2004-STANTON,Gulf of Alaska,0,25,Anoplopoma fimbria,2,1,0,25,1975,1988,2000
AFSC-REXSOLEGA-1979-2008-STANTON,Gulf of Alaska,26,26,Glyptocephalus zachirus,2,1,0,26,1959,1963,1985
AFSC-DSOLEGA-1978-2010-STANTON,Gulf of Alaska,27,24,Microstomus pacificus,2,1,0,27,1976,1998,2003
AFSC-FLSOLEGA-1978-2010-Stachura,Gulf of Alaska,27,27,Hippoglossoides elassodon,2,1,0,27,1983,1991,2010
ADFG-HERRPWS-1980-2006-COLLIE,Gulf of Alaska,27,27,Clupea pallasii,2,1,1,27,1945,1949,1949
ADFG-HERRSITKA-1978-2007-COLLIE,Gulf of Alaska,30,30,Clupea pallasii,2,1,1,30,1950,1976,1976
AFSC-DUSROCKGA-1973-2008-MELNYCHUK,Gulf of Alaska,31,31,Sebastes variabilis,2,1,0,31,1967,1970,1998
AFSC-REYEROCKGA-1974-2007-MELNYCHUK,Gulf of Alaska,31,31,Sebastes aleutianus,2,1,0,31,1979,2007,2010
AFSC-PCODGA-1964-2008-MELNYCHUK,Gulf of Alaska,32,32,Gadus macrocephalus,2,1,0,32,1951,1981,1983
AFSC-WPOLLGA-1964-2008-MELNYCHUK,Gulf of Alaska,32,32,Theragra chalcogramma,2,1,0,32,1978,1981,2010
DFO-PAC-PCODWCVANI-1956-2002-COLLIE,Gulf of Alaska,47,0,Gadus macrocephalus,2,1,1,47,1963,1982,1982
AFSC-NROCKGA-1959-2008-MELNYCHUK,Gulf of Alaska,48,48,Sebastes polyspinis,2,1,0,48,1959,1984,2007
AFSC-ARFLOUNDGA-1958-2010-STANTON,Gulf of Alaska,47,50,Reinhardtius stomias,2,1,0,50,1946,1955,1996
AFSC-POPERCHGA-1959-2010-Stachura,Gulf of Alaska,50,34,Sebastes alutus,2,1,1,50,1953,2003,2003
DFO-PAC-PCODHS-1956-2005-COLLIE,Gulf of Alaska,50,0,Gadus macrocephalus,2,1,1,50,1959,1976,1976
DFO-PAC-RSOLEHSTR-1945-2001-COLLIE,Gulf of Alaska,57,57,Lepidopsetta bilineata,2,1,0,57,1950,1977,2007
DFO-PAC-HERRCC-1951-2007-COLLIE,Gulf of Alaska,57,57,Clupea pallasii,2,1,1,57,1952,1974,1974
DFO-PAC-HERRPRD-1951-2007-COLLIE,Gulf of Alaska,57,57,Clupea pallasii,2,1,1,57,1949,1973,1973
DFO-PAC-HERRQCI-1951-2007-COLLIE,Gulf of Alaska,57,57,Clupea pallasii,2,1,1,57,1946,1991,1991
DFO-PAC-HERRSOG-1951-2007-COLLIE,Gulf of Alaska,57,57,Clupea pallasii,2,1,1,57,1947,1992,1992
DFO-PAC-HERRWCVANI-1951-2007-COLLIE,Gulf of Alaska,57,57,Clupea pallasii,2,1,1,57,1949,1998,1998
DFO-PAC-ESOLEHS-1944-2001-COLLIE,Gulf of Alaska,58,0,Parophrys vetulus,2,1,0,58,1952,2008,2010
NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON,California Current,27,27,Hexagrammos decagrammus,3,1,0,27,1951,1952,1978
SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,California Current,36,36,Platichthys stellatus,3,1,0,36,1969,1998,2005
SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,California Current,36,36,Platichthys stellatus,3,1,0,36,1950,1957,1986
NWFSC-YTROCKNPCOAST-1967-2005-STANTON,California Current,39,39,Sebastes flavidus,3,1,0,39,1947,1986,1986
SWFSC-GOPHERSPCOAST-1965-2005-STANTON,California Current,41,41,Sebastes carnatus,3,1,0,41,1958,1995,1999
NWFSC-LSTHORNHPCOAST-1962-2005-STANTON,California Current,42,42,Sebastolobus altivelis,3,1,0,42,1956,1957,1998
NWFSC-PHAKEPCOAST-1966-2008-BRANCH,California Current,43,43,Merluccius productus,3,2,0,43,1949,1949,1992
NWFSC-WROCKPCOAST-1955-2006-BRANCH,California Current,49,49,Sebastes entomelas,3,1,0,49,1954,1954,2003
NWFSC-POPERCHPCOAST-1953-2007-BRANCH,California Current,52,52,Sebastes alutus,3,1,1,52,1954,1955,1955
NWFSC-BGROCKPCOAST-1950-2005-STANTON,California Current,56,56,Sebastes melanostomus,3,1,0,56,1948,1977,2004
SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH,California Current,56,56,Sebastes jordani,3,1,0,56,1946,1996,2002
NWFSC-BOCACCSPCOAST-1951-2006-BRANCH,California Current,56,56,Sebastes paucispinis,3,1,1,56,1953,1989,1989
SEFSC-RGROUPGM-1986-2005-JENSEN,Gulf of Mexico,20,0,Epinephelus morio,5,1,0,20,1961,1974,1981
SEFSC-BTIPSHARGM-1981-2004-FAUCONNET,Gulf of Mexico,24,0,Carcharhinus limbatus,5,1,0,24,1948,1959,1972
SEFSC-MENATGM-1964-2004-GILROY,Gulf of Mexico,41,41,Brevoortia patronus,5,1,0,41,1952,1992,1993
SEFSC-GAGGM-1963-2004-JENSEN,Gulf of Mexico,42,42,Mycteroperca microlepis,5,1,0,42,1947,1948,1989
SEFSC-BTIPSHARATL-1981-2004-FAUCONNET,Southeast U.S. Continental Shelf,24,0,Carcharhinus limbatus,6,2,0,24,1956,1965,1980
SEFSC-RPORGYSATLC-1972-2004-JENSEN,Southeast U.S. Continental Shelf,33,33,Pagrus pagrus,6,1,0,33,1976,1999,2009
SEFSC-SNOWGROUPSATLC-1961-2002-STANTON,Southeast U.S. Continental Shelf,42,42,Epinephelus niveatus,6,1,0,42,1968,2009,2010
SEFSC-TILESATLC-1961-2002-STANTON,Southeast U.S. Continental Shelf,42,42,Lopholatilus chamaeleonticeps,6,1,0,42,1964,1992,2006
SEFSC-BHEADSHARATL-1950-2005-FAUCONNET,Southeast U.S. Continental Shelf,56,0,Sphyrna tiburo,6,2,0,56,1945,1982,2001
SEFSC-SPANMACKSATLC-1950-2008-JENSEN,Southeast U.S. Continental Shelf,59,58,Scomberomorus maculatus,6,1,0,59,1948,1995,2007
SEFSC-VSNAPSATLC-1946-2008-STANTON,Southeast U.S. Continental Shelf,63,62,Rhomboplites aurorubens,6,1,0,63,1945,1945,2008
NEFSC-YELLCCODGOM-1935-2008-LEGAULT,Northeast U.S. Continental Shelf,23,23,Limanda ferruginea,7,1,0,23,1975,1979,1998
ASMFC-PANDALGOM-1960-2009-IDOINE,Northeast U.S. Continental Shelf,25,0,Pandalus borealis,7,1,0,25,1980,1986,2005
NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON,Northeast U.S. Continental Shelf,25,25,Pseudopleuronectes americanus,7,1,0,25,1958,1962,1983
DFO-POLL4X5YZ-1980-2006-PREFONTAINE,Northeast U.S. Continental Shelf,25,25,Pollachius virens,7,2,1,25,1956,1972,1972
NEFSC-SCALLGB-1964-2006-HART,Northeast U.S. Continental Shelf,25,0,Placopecten magellanicus,7,1,1,25,1977,1996,1996
ASMFC-LOBSTERGB-1981-2007-STANTON,Northeast U.S. Continental Shelf,0,26,Homarus americanus,7,1,0,26,1984,1984,2010
ASMFC-LOBSTERSNE-1981-2007-STANTON,Northeast U.S. Continental Shelf,0,26,Homarus americanus,7,1,0,26,1970,1982,1996
NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,Northeast U.S. Continental Shelf,26,26,Pomatomus saltatrix,7,1,0,26,1975,1995,2001
NEFSC-CODGOM-1893-2008-BAUM,Northeast U.S. Continental Shelf,26,26,Gadus morhua,7,1,0,26,1968,1969,1994
NEFSC-SFLOUNMATLC-1940-2007-BAUM,Northeast U.S. Continental Shelf,26,26,Paralichthys dentatus,7,2,0,26,1951,1957,1977
ASMFC-LOBSTERGOM-1981-2007-STANTON,Northeast U.S. Continental Shelf,0,26,Homarus americanus,7,1,1,26,1959,1976,1976
DFO-COD5Zjm-1978-2003-PREFONTAINE,Northeast U.S. Continental Shelf,26,26,Gadus morhua,7,1,1,26,1964,1964,1964
NEFSC-MONKGOMNGB-1964-2006-RICHARDS,Northeast U.S. Continental Shelf,27,0,Lophius americanus,7,1,0,27,1964,1987,1991
