ASSESSID,LME_NAME,NUM_TOTAL,NUM_SSB,SCIENTIFICNAME,LME_NUMBER,LME_COUNT,collapse_admb,TS_LENGTH,YEAR_START,YEAR_COLLAPSE
AFSC-RKCRABBB-1960-2008-JENSEN,East Bering Sea,24,24,Paralithodes camtschaticus,1,1,1,24,1976,1999
AFSC-SRAKEROCKBSAI-1977-2008-STANTON,East Bering Sea,29,0,Sebastes borealis,1,1,0,29,1946,1974
AFSC-SNOWCRABBS-1979-2008-JENSEN,East Bering Sea,30,30,Chionoecetes opilio,1,1,1,30,1972,2001
AFSC-WPOLLAI-1976-2008-MELNYCHUK,East Bering Sea,31,31,Theragra chalcogramma,1,1,1,31,1949,1979
AFSC-FLSOLEBSAI-1977-2008-STANTON,East Bering Sea,32,32,Hippoglossoides elassodon,1,1,0,32,1971,2002
AFSC-PCODBSAI-1964-2008-MELNYCHUK,East Bering Sea,32,32,Gadus macrocephalus,1,1,0,32,1957,1988
AFSC-ARFLOUNDBSAI-1970-2008-STANTON,East Bering Sea,33,33,Reinhardtius stomias,1,1,0,33,1950,1982
AFSC-ATKABSAI-1976-2009-STANTON,East Bering Sea,33,33,Pleurogrammus monopterygius,1,1,0,33,1958,1990
AFSC-NROCKBSAI-1974-2009-STANTON,East Bering Sea,33,33,Sebastes polyspinis,1,1,0,33,1946,1978
AFSC-PERCHEBSAI-1974-2009-STANTON,East Bering Sea,33,33,Sebastes alutus,1,1,0,33,1959,1991
AFSC-REYEROCKBSAI-1974-2009-STANTON,East Bering Sea,33,33,Sebastes aleutianus,1,1,0,33,1949,1981
AFSC-RKCRABNS-1976-2008-JENSEN,East Bering Sea,0,33,Paralithodes camtschaticus,1,1,0,33,1971,2003
AFSC-ALPLAICBSAI-1972-2008-MELNYCHUK,East Bering Sea,34,34,Pleuronectes quadrituberculatus,1,1,0,34,1975,2008
AFSC-NRSOLEEBSAI-1971-2008-STANTON,East Bering Sea,34,33,Lepidopsetta polyxystra,1,1,1,34,1963,1996
AFSC-WPOLLEBS-1963-2008-MELNYCHUK,East Bering Sea,45,45,Theragra chalcogramma,1,1,0,45,1946,1990
AFSC-YSOLEBSAI-1959-2008-MELNYCHUK,East Bering Sea,45,45,Limanda aspera,1,1,1,45,1962,2006
AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK,East Bering Sea,49,49,Anoplopoma fimbria,1,2,0,49,1948,1996
AFSC-GHALBSAI-1960-2009-STANTON,East Bering Sea,50,50,Reinhardtius hippoglossoides,1,1,1,50,1947,1996
DFO-PAC-SABLEFPCAN-1913-2004-STANTON,Gulf of Alaska,0,25,Anoplopoma fimbria,2,1,0,25,1975,1999
AFSC-REXSOLEGA-1979-2008-STANTON,Gulf of Alaska,26,26,Glyptocephalus zachirus,2,1,0,26,1959,1984
AFSC-DSOLEGA-1978-2010-STANTON,Gulf of Alaska,27,24,Microstomus pacificus,2,1,0,27,1976,2002
AFSC-FLSOLEGA-1978-2010-Stachura,Gulf of Alaska,27,27,Hippoglossoides elassodon,2,1,0,27,1983,2009
ADFG-HERRPWS-1980-2006-COLLIE,Gulf of Alaska,27,27,Clupea pallasii,2,1,1,27,1945,1971
ADFG-HERRSITKA-1978-2007-COLLIE,Gulf of Alaska,30,30,Clupea pallasii,2,1,1,30,1950,1979
AFSC-DUSROCKGA-1973-2008-MELNYCHUK,Gulf of Alaska,31,31,Sebastes variabilis,2,1,0,31,1967,1997
AFSC-REYEROCKGA-1974-2007-MELNYCHUK,Gulf of Alaska,31,31,Sebastes aleutianus,2,1,0,31,1979,2009
AFSC-PCODGA-1964-2008-MELNYCHUK,Gulf of Alaska,32,32,Gadus macrocephalus,2,1,0,32,1951,1982
AFSC-WPOLLGA-1964-2008-MELNYCHUK,Gulf of Alaska,32,32,Theragra chalcogramma,2,1,0,32,1978,2009
DFO-PAC-PCODWCVANI-1956-2002-COLLIE,Gulf of Alaska,47,0,Gadus macrocephalus,2,1,1,47,1963,2009
AFSC-NROCKGA-1959-2008-MELNYCHUK,Gulf of Alaska,48,48,Sebastes polyspinis,2,1,0,48,1959,2006
AFSC-ARFLOUNDGA-1958-2010-STANTON,Gulf of Alaska,47,50,Reinhardtius stomias,2,1,0,50,1946,1995
AFSC-POPERCHGA-1959-2010-Stachura,Gulf of Alaska,50,34,Sebastes alutus,2,1,1,50,1953,2002
DFO-PAC-PCODHS-1956-2005-COLLIE,Gulf of Alaska,50,0,Gadus macrocephalus,2,1,1,50,1959,2008
DFO-PAC-RSOLEHSTR-1945-2001-COLLIE,Gulf of Alaska,57,57,Lepidopsetta bilineata,2,1,0,57,1950,2006
DFO-PAC-HERRCC-1951-2007-COLLIE,Gulf of Alaska,57,57,Clupea pallasii,2,1,1,57,1952,2008
DFO-PAC-HERRPRD-1951-2007-COLLIE,Gulf of Alaska,57,57,Clupea pallasii,2,1,1,57,1949,2005
DFO-PAC-HERRQCI-1951-2007-COLLIE,Gulf of Alaska,57,57,Clupea pallasii,2,1,1,57,1946,2002
DFO-PAC-HERRSOG-1951-2007-COLLIE,Gulf of Alaska,57,57,Clupea pallasii,2,1,1,57,1947,2003
DFO-PAC-HERRWCVANI-1951-2007-COLLIE,Gulf of Alaska,57,57,Clupea pallasii,2,1,1,57,1949,2005
DFO-PAC-ESOLEHS-1944-2001-COLLIE,Gulf of Alaska,58,0,Parophrys vetulus,2,1,0,58,1952,2009
NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON,California Current,27,27,Hexagrammos decagrammus,3,1,0,27,1951,1977
SWFSC-STFLOUNNPCOAST-1970-2005-STANTON,California Current,36,36,Platichthys stellatus,3,1,0,36,1969,2004
SWFSC-STFLOUNSPCOAST-1970-2005-STANTON,California Current,36,36,Platichthys stellatus,3,1,0,36,1950,1985
NWFSC-YTROCKNPCOAST-1967-2005-STANTON,California Current,39,39,Sebastes flavidus,3,1,0,39,1947,1985
SWFSC-GOPHERSPCOAST-1965-2005-STANTON,California Current,41,41,Sebastes carnatus,3,1,0,41,1958,1998
NWFSC-LSTHORNHPCOAST-1962-2005-STANTON,California Current,42,42,Sebastolobus altivelis,3,1,0,42,1956,1997
NWFSC-PHAKEPCOAST-1966-2008-BRANCH,California Current,43,43,Merluccius productus,3,2,0,43,1949,1991
NWFSC-WROCKPCOAST-1955-2006-BRANCH,California Current,49,49,Sebastes entomelas,3,1,0,49,1954,2002
NWFSC-POPERCHPCOAST-1953-2007-BRANCH,California Current,52,52,Sebastes alutus,3,1,1,52,1954,2005
NWFSC-BGROCKPCOAST-1950-2005-STANTON,California Current,56,56,Sebastes melanostomus,3,1,0,56,1948,2003
SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH,California Current,56,56,Sebastes jordani,3,1,0,56,1946,2001
NWFSC-BOCACCSPCOAST-1951-2006-BRANCH,California Current,56,56,Sebastes paucispinis,3,1,1,56,1953,2008
SEFSC-RGROUPGM-1986-2005-JENSEN,Gulf of Mexico,20,0,Epinephelus morio,5,1,0,20,1961,1980
SEFSC-BTIPSHARGM-1981-2004-FAUCONNET,Gulf of Mexico,24,0,Carcharhinus limbatus,5,1,0,24,1948,1971
SEFSC-MENATGM-1964-2004-GILROY,Gulf of Mexico,41,41,Brevoortia patronus,5,1,0,41,1952,1992
SEFSC-GAGGM-1963-2004-JENSEN,Gulf of Mexico,42,42,Mycteroperca microlepis,5,1,0,42,1947,1988
SEFSC-BTIPSHARATL-1981-2004-FAUCONNET,Southeast U.S. Continental Shelf,24,0,Carcharhinus limbatus,6,2,0,24,1956,1979
SEFSC-RPORGYSATLC-1972-2004-JENSEN,Southeast U.S. Continental Shelf,33,33,Pagrus pagrus,6,1,0,33,1976,2008
SEFSC-SNOWGROUPSATLC-1961-2002-STANTON,Southeast U.S. Continental Shelf,42,42,Epinephelus niveatus,6,1,0,42,1968,2009
SEFSC-TILESATLC-1961-2002-STANTON,Southeast U.S. Continental Shelf,42,42,Lopholatilus chamaeleonticeps,6,1,0,42,1964,2005
SEFSC-BHEADSHARATL-1950-2005-FAUCONNET,Southeast U.S. Continental Shelf,56,0,Sphyrna tiburo,6,2,0,56,1945,2000
SEFSC-SPANMACKSATLC-1950-2008-JENSEN,Southeast U.S. Continental Shelf,59,58,Scomberomorus maculatus,6,1,0,59,1948,2006
SEFSC-VSNAPSATLC-1946-2008-STANTON,Southeast U.S. Continental Shelf,63,62,Rhomboplites aurorubens,6,1,0,63,1945,2007
NEFSC-YELLCCODGOM-1935-2008-LEGAULT,Northeast U.S. Continental Shelf,23,23,Limanda ferruginea,7,1,0,23,1975,1997
ASMFC-PANDALGOM-1960-2009-IDOINE,Northeast U.S. Continental Shelf,25,0,Pandalus borealis,7,1,0,25,1980,2004
NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON,Northeast U.S. Continental Shelf,25,25,Pseudopleuronectes americanus,7,1,0,25,1958,1982
DFO-POLL4X5YZ-1980-2006-PREFONTAINE,Northeast U.S. Continental Shelf,25,25,Pollachius virens,7,2,1,25,1956,1980
NEFSC-SCALLGB-1964-2006-HART,Northeast U.S. Continental Shelf,25,0,Placopecten magellanicus,7,1,1,25,1977,2001
ASMFC-LOBSTERGB-1981-2007-STANTON,Northeast U.S. Continental Shelf,0,26,Homarus americanus,7,1,0,26,1984,2009
ASMFC-LOBSTERSNE-1981-2007-STANTON,Northeast U.S. Continental Shelf,0,26,Homarus americanus,7,1,0,26,1970,1995
NEFSC-BLUEFISHATLC-1981-2007-SHEPHERD,Northeast U.S. Continental Shelf,26,26,Pomatomus saltatrix,7,1,0,26,1975,2000
NEFSC-CODGOM-1893-2008-BAUM,Northeast U.S. Continental Shelf,26,26,Gadus morhua,7,1,0,26,1968,1993
NEFSC-SFLOUNMATLC-1940-2007-BAUM,Northeast U.S. Continental Shelf,26,26,Paralichthys dentatus,7,2,0,26,1951,1976
ASMFC-LOBSTERGOM-1981-2007-STANTON,Northeast U.S. Continental Shelf,0,26,Homarus americanus,7,1,1,26,1959,1984
DFO-COD5Zjm-1978-2003-PREFONTAINE,Northeast U.S. Continental Shelf,26,26,Gadus morhua,7,1,1,26,1964,1989
NEFSC-MONKGOMNGB-1964-2006-RICHARDS,Northeast U.S. Continental Shelf,27,0,Lophius americanus,7,1,0,27,1964,1990
NEFSC-MONKSGBMATL-1964-2006-RICHARDS,Northeast U.S. Continental Shelf,27,0,Lophius americanus,7,1,0,27,1947,1973
NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO,Northeast U.S. Continental Shelf,27,27,Pseudopleuronectes americanus,7,1,1,27,1964,1990
NEFSC-AMPL5YZ-1960-2008-OBRIEN,Northeast U.S. Continental Shelf,29,28,Hippoglossoides platessoides,7,1,0,29,1958,1986
ASMFC-ATLCROAKMATLC-1973-2002-STANTON,Northeast U.S. Continental Shelf,0,30,Micropogonias undulatus,7,1,0,30,1962,1991
NEFSC-QUAHATLC-1978-2008-CHUTE,Northeast U.S. Continental Shelf,31,0,Arctica islandica,7,1,0,31,1954,1984
NEFSC-CODGB-1960-2008-BAUM,Northeast U.S. Continental Shelf,31,30,Gadus morhua,7,1,1,31,1950,1980
NEFSC-HAD5Y-1956-2008-BAUM,Northeast U.S. Continental Shelf,32,31,Melanogrammus aeglefinus,7,1,1,32,1970,2001
NEFSC-SCALLMATLC-1964-2006-HART,Northeast U.S. Continental Shelf,32,0,Placopecten magellanicus,7,1,1,32,1957,1988
NEFSC-TILEMATLC-1973-2008-NITSCHKE,Northeast U.S. Continental Shelf,33,0,Lopholatilus chamaeleonticeps,7,2,0,33,1952,1984
NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON,Northeast U.S. Continental Shelf,33,0,Scophthalmus aquosus,7,1,1,33,1953,1985
NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON,Northeast U.S. Continental Shelf,33,0,Scophthalmus aquosus,7,1,1,33,1946,1978
DFO-MAR-HAD4X5Y-1960-2003-PREFONTAINE,Northeast U.S. Continental Shelf,34,34,Melanogrammus aeglefinus,7,2,1,34,1963,1996
DFO-HAD5Zejm-1968-2003-PREFONTAINE,Northeast U.S. Continental Shelf,35,35,Melanogrammus aeglefinus,7,1,1,35,1956,1990
NEFSC-YELLSNEMATL-1935-2008-BAUM,Northeast U.S. Continental Shelf,35,35,Limanda ferruginea,7,1,1,35,1975,2009
NEFSC-YELLGB-1935-2008-BAUM,Northeast U.S. Continental Shelf,36,35,Limanda ferruginea,7,1,1,36,1969,2004
DFO-MAR-CUSK4X-1970-2007-RICARD,Northeast U.S. Continental Shelf,38,0,Brosme brosme,7,1,1,38,1966,2003
NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON,Northeast U.S. Continental Shelf,39,0,Illex illecebrosus,7,3,1,39,1955,1993
NEFSC-BSBASSMATLC-1968-2007-SHEPHERD,Northeast U.S. Continental Shelf,40,40,Centropristis striata,7,1,0,40,1947,1986
NEFSC-SHAKEGOMNGB-1955-2005-COL,Northeast U.S. Continental Shelf,43,0,Merluccius bilinearis,7,1,1,43,1950,1992
NEFSC-SHAKESGBMATL-1955-2005-COL,Northeast U.S. Continental Shelf,43,0,Merluccius bilinearis,7,1,1,43,1950,1992
NEFSC-POLL5YZ-1963-2007-MAYO,Northeast U.S. Continental Shelf,44,0,Pollachius virens,7,1,1,44,1952,1995
NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE,Northeast U.S. Continental Shelf,45,45,Urophycis tenuis,7,1,0,45,1957,2001
NAFO-SC-YELL3LNO-1960-2009-BAUM,Northeast U.S. Continental Shelf,45,0,Limanda ferruginea,7,2,1,45,1962,2006
RIDEM-TAUTOGRI-1959-2007-COLLIE,Northeast U.S. Continental Shelf,49,0,Tautoga onitis,7,1,0,49,1955,2003
RIDEM-LOBSTERRI-1959-2007-COLLIE,Northeast U.S. Continental Shelf,49,0,Homarus americanus,7,1,1,49,1961,2009
RIDEM-WINFLOUNDRI-1959-2007-COLLIE,Northeast U.S. Continental Shelf,49,0,Pseudopleuronectes americanus,7,1,1,49,1961,2009
NMFS-MENATLAN-1940-2005-STANTON,Northeast U.S. Continental Shelf,51,0,Brevoortia tyrannus,7,3,0,51,1954,2004
